experiment,percentDEInCat,term,genes
enriched_vs_control,33.33333333,anatomical structure development,gene14844; gene15186; gene22890
enriched_vs_control,33.33333333,anatomical structure development,gene2540; gene14589; gene22809; gene111_5de57afd; gene751_5de57afd
enriched_vs_control,33.33333333,anatomical structure development,gene11619; gene15713; gene15923
enriched_vs_control,100,anatomical structure development,gene11619
enriched_vs_control,33.33333333,anatomical structure development,gene14243; gene16312; gene25935
enriched_vs_control,33.33333333,anatomical structure development,gene10963; gene15186; gene15740
enriched_vs_control,4.545454545,anatomical structure development,gene82; gene953; gene1184; gene1347; gene2720; gene4074; gene4868; gene4920; gene5948; gene6296; gene6349; gene6437; gene6620; gene7176; gene7598; gene8605; gene8743; gene8744; gene9107; gene9266; gene10374; gene10378; gene11090; gene11095; gene11983; gene12503; gene12616; gene12870; gene13022; gene13607; gene14445; gene14449; gene15027; gene15330; gene15334; gene16518; gene16810; gene16814; gene16966; gene17350; gene17472; gene17533; gene17672; gene17780; gene18253; gene18438; gene18759; gene18791; gene19128; gene19586; gene20854; gene20877; gene21281; gene21308; gene21569; gene21734; gene21741; gene23173; gene23560; gene23729; gene24031; gene24199; gene25076; gene25678; gene25744; gene26304
enriched_vs_control,25,anatomical structure development,gene1504; gene4013; gene10298; gene17174
enriched_vs_control,100,anatomical structure development,gene4013
enriched_vs_control,50,anatomical structure development,gene1279; gene4013
enriched_vs_control,25,anatomical structure development,gene10; gene630; gene939; gene4304; gene662_5de57afd
enriched_vs_control,50,anatomical structure development,gene15186; gene15740
enriched_vs_control,33.33333333,anatomical structure development,gene4223; gene15186; gene15740
enriched_vs_control,100,anatomical structure development,gene3838
enriched_vs_control,100,anatomical structure development,gene630; gene662_5de57afd
enriched_vs_control,50,anatomical structure development,gene18093; gene19316
enriched_vs_control,33.33333333,anatomical structure development,gene13135; gene19246; gene23091
enriched_vs_control,100,anatomical structure development,gene19246
enriched_vs_control,25,anatomical structure development,gene11430; gene14557; gene15186; gene15740
enriched_vs_control,100,anatomical structure development,gene4013
enriched_vs_control,50,carbohydrate derivative metabolic process,gene13135; gene19246
enriched_vs_control,20,carbohydrate derivative metabolic process,gene542; gene849; gene15167; gene18012; gene20305
enriched_vs_control,20,carbohydrate metabolic process,gene13135; gene13168; gene16993; gene17604; gene19246
enriched_vs_control,25,carbohydrate metabolic process,gene849; gene12449; gene16142; gene19246
enriched_vs_control,40,cell differentiation,gene1039; gene1126; gene7083; gene16615; gene16616
enriched_vs_control,20,cell motility,gene3719; gene4609; gene9768; gene13790; gene17445
enriched_vs_control,25,cell motility,gene5053; gene6262; gene6264; gene6266
enriched_vs_control,33.33333333,cell motility,gene15654; gene15655; gene15656; gene601_5de57afd
enriched_vs_control,25,cellular amino acid metabolic process,gene12577; gene14740; gene25471; gene23926
enriched_vs_control,33.33333333,cellular amino acid metabolic process,gene8101; gene9991; gene15293
enriched_vs_control,100,cellular amino acid metabolic process,gene26149
enriched_vs_control,50,cellular amino acid metabolic process,gene14739; gene18546
enriched_vs_control,33.33333333,cellular amino acid metabolic process,gene5891; gene17660; gene26149
enriched_vs_control,33.33333333,cellular amino acid metabolic process,gene7979; gene8101; gene9991
enriched_vs_control,6.060606061,cytoskeleton organization,gene253; gene630; gene1302; gene1405; gene1664; gene2704; gene2817; gene3098; gene3135; gene4124; gene4128; gene4207; gene5981; gene7049; gene9785; gene10007; gene10199; gene10929; gene11175; gene11626; gene11899; gene12487; gene12579; gene13486; gene15066; gene15599; gene15655; gene17119; gene22735; gene23611; gene26073; gene26594; gene662_5de57afd; gene2013
enriched_vs_control,40,detoxification,gene1842; gene5894; gene5895; gene9881; gene26406
enriched_vs_control,25,DNA repair,gene187; gene9509; gene16865; gene17932
enriched_vs_control,50,DNA repair,gene15300; gene16604
enriched_vs_control,33.33333333,DNA replication,gene5996; gene9424; gene10194
enriched_vs_control,33.33333333,DNA-templated transcription,gene16604; gene17018; gene21448
enriched_vs_control,33.33333333,DNA-templated transcription,gene201; gene1259; gene8459; gene10284; gene10913; gene12577; gene13134; gene14740; gene17318
enriched_vs_control,33.33333333,immune system process,gene4016; gene16275; gene18165
enriched_vs_control,25,immune system process,gene2705; gene16616; gene18155; gene19525
enriched_vs_control,20,immune system process,gene1925; gene1965; gene20488; gene25577; gene26545
enriched_vs_control,100,intracellular protein transport,gene14
enriched_vs_control,10,lipid metabolic process,gene4570; gene4623; gene7166; gene7306; gene11748; gene11749; gene12585; gene14589; gene14810; gene15783; gene15784; gene16204; gene16737; gene21203; gene22809; gene23283; gene26216; gene26217; gene751_5de57afd; gene11598; gene18237
enriched_vs_control,5.405405405,lipid metabolic process,gene502; gene814; gene3872; gene4408; gene4736; gene5040; gene5720; gene5770; gene5774; gene6002; gene8306; gene8818; gene9029; gene9203; gene9351; gene9436; gene9440; gene9816; gene9818; gene10125; gene10126; gene10127; gene11178; gene11179; gene12061; gene13150; gene13507; gene16023; gene18381; gene18799; gene18877; gene22737; gene22805; gene23081; gene25912; gene2055; gene13462
enriched_vs_control,100,lipid metabolic process,gene10672
enriched_vs_control,25,lipid metabolic process,gene129; gene10149; gene14589; gene22809
enriched_vs_control,50,lipid metabolic process,gene1878; gene15943
enriched_vs_control,16.66666667,lipid metabolic process,gene7166; gene13096; gene15659; gene15660; gene15783; gene15784
enriched_vs_control,50,lipid metabolic process,gene4016; gene8561
enriched_vs_control,25,microtubule-based movement,gene5139; gene5236; gene16663; gene26229
enriched_vs_control,50,microtubule-based movement,gene18093; gene19316
enriched_vs_control,50,microtubule-based movement,gene816; gene5236
enriched_vs_control,50,microtubule-based movement,gene5236; gene15408
enriched_vs_control,25,mRNA metabolic process,gene4201; gene5623; gene16304; gene16604
enriched_vs_control,100,muscle system process,gene8105
enriched_vs_control,20,muscle system process,gene465; gene3705; gene8105; gene9999; gene13902
enriched_vs_control,33.33333333,muscle system process,gene6661; gene8105; gene26488
enriched_vs_control,100,muscle system process,gene8105
enriched_vs_control,8.695652174,nervous system process,gene82; gene899; gene3913; gene5947; gene5949; gene7598; gene9784; gene11090; gene15069; gene15330; gene16081; gene18253; gene21487; gene23173; gene24031; gene25107; gene26304; gene5488; gene5489; gene9202; gene9204; gene12489; gene13561
enriched_vs_control,20,peroxisome organization,gene3251; gene11434; gene11435; gene2753; gene5536
enriched_vs_control,100,programmed cell death,gene542
enriched_vs_control,15.38461538,protein catabolic process,gene335; gene630; gene759; gene3564; gene5996; gene6353; gene8031; gene8833; gene9424; gene13164; gene16788; gene16789; gene17431
enriched_vs_control,50,protein folding,gene14; gene9914
enriched_vs_control,7.407407407,protein maturation,gene5; gene361; gene2392; gene4159; gene4639; gene4865; gene8826; gene9916; gene10050; gene10051; gene10384; gene11196; gene11197; gene12568; gene12570; gene13508; gene13550; gene16615; gene16616; gene17091; gene18342; gene18766; gene19433; gene19714; gene20806; gene24115; gene26630
enriched_vs_control,6.25,protein modification process,gene1710; gene1712; gene2427; gene3190; gene3194; gene3720; gene5970; gene6262; gene6263; gene6264; gene6266; gene9393; gene9572; gene13263; gene13352; gene13962; gene14787; gene14895; gene16270; gene19213; gene22799; gene247; gene445; gene1153; gene1867; gene2362; gene4079; gene4138; gene7339; gene7885; gene9854; gene14315
enriched_vs_control,20,protein modification process,gene774; gene4700; gene14851; gene24637; gene25690
enriched_vs_control,50,protein modification process,gene8049; gene8096
enriched_vs_control,5.882352941,protein-containing complex assembly,gene82; gene1178; gene1179; gene1382; gene2001; gene2002; gene2003; gene2004; gene2010; gene3913; gene5446; gene5947; gene5949; gene6630; gene7598; gene11090; gene11627; gene11678; gene11809; gene12129; gene13118; gene15069; gene15330; gene16081; gene16553; gene16835; gene18253; gene19216; gene21487; gene23173; gene24031; gene26304; gene9469; gene23893
enriched_vs_control,33.33333333,protein-containing complex assembly,gene846; gene2640; gene7570; gene14739; gene18056; gene18546
enriched_vs_control,25,protein-containing complex assembly,gene2837; gene15120; gene18093; gene19316
enriched_vs_control,11.11111111,protein-containing complex assembly,gene929; gene1200; gene2731; gene2818; gene3029; gene4726; gene5644; gene10004; gene16615; gene16616; gene19731; gene20356; gene21112; gene23646; gene23881; gene23947; gene24724; gene26260
enriched_vs_control,10,reproductive process,gene1994; gene4522; gene5183; gene7756; gene10340; gene10341; gene10342; gene10343; gene10344; gene11027; gene11209; gene12240; gene12415; gene14206; gene14998; gene15552; gene15699; gene16549; gene23003; gene26358
enriched_vs_control,25,reproductive process,gene630; gene1391; gene9423; gene10013; gene662_5de57afd
enriched_vs_control,14.28571429,reproductive process,gene4041; gene6069; gene8415; gene10629; gene12634; gene15100; gene17822; gene19928; gene20061; gene21571; gene22737; gene23244; gene25876; gene26362
enriched_vs_control,33.33333333,reproductive process,gene5294; gene19246; gene21793
enriched_vs_control,2.491103203,signaling,gene82; gene336; gene389; gene953; gene1260; gene1261; gene1288; gene1689; gene1767; gene1882; gene2076; gene2303; gene2653; gene3416; gene3604; gene3885; gene3932; gene3953; gene4729; gene4838; gene4963; gene5124; gene5456; gene5524; gene5947; gene6053; gene6174; gene6316; gene6349; gene6437; gene6501; gene6586; gene6710; gene6957; gene7357; gene7456; gene7459; gene7464; gene7486; gene7589; gene7590; gene7598; gene7854; gene8082; gene8270; gene8316; gene8331; gene8478; gene8479; gene8480; gene8489; gene8743; gene8774; gene8775; gene9026; gene9205; gene9266; gene9299; gene9347; gene9364; gene9445; gene9848; gene9989; gene10167; gene10712; gene11090; gene11217; gene11467; gene11715; gene11895; gene12366; gene12686; gene12865; gene12926; gene13001; gene13406; gene13422; gene13607; gene13686; gene13784; gene14599; gene14604; gene14655; gene14768; gene14792; gene15069; gene15079; gene15164; gene15208; gene15254; gene15311; gene15330; gene15695; gene15928; gene16081; gene16398; gene16430; gene16518; gene16830; gene17055; gene17089; gene17232; gene17533; gene17584; gene17594; gene17595; gene17606; gene17983; gene18245; gene18253; gene18255; gene18427; gene18646; gene18961; gene18970; gene18984; gene19182; gene19607; gene19643; gene19706; gene20014; gene20362; gene20394; gene20703; gene20725; gene21374; gene21487; gene21569; gene22014; gene22737; gene22871; gene22878; gene22880; gene22900; gene23173; gene23434; gene23461; gene23560; gene24031; gene25146; gene25613; gene25616; gene25842; gene26304; gene26577; gene26797; gene96_5de57afd; gene177_5de57afd; gene199_5de57afd; gene203_5de57afd; gene559_5de57afd; gene252; gene1013; gene1763; gene2525; gene3174; gene3659; gene3660; gene3695; gene3771; gene3772; gene3926; gene4012; gene4304; gene4319; gene4690; gene4923; gene5102; gene5360; gene5579; gene5905; gene6409; gene6911; gene6955; gene7032; gene7034; gene7036; gene7493; gene8186; gene8217; gene8299; gene8330; gene8337; gene8553; gene9196; gene9200; gene9483; gene9594; gene9845; gene10611; gene10612; gene10613; gene10614; gene10674; gene10910; gene10955; gene10958; gene10988; gene11251; gene11252; gene11254; gene11395; gene11714; gene12173; gene12647; gene12989; gene13470; gene13471; gene13815; gene14436; gene14554; gene14555; gene14597; gene14598; gene14710; gene14960; gene15161; gene15439; gene15440; gene15796; gene15797; gene15798; gene16000; gene16083; gene16309; gene16831; gene17054; gene17237; gene17380; gene17381; gene17532; gene17582; gene17715; gene17792; gene17868; gene18425; gene18645; gene18647; gene18924; gene18935; gene19332; gene19510; gene19585; gene19914; gene20476; gene20834; gene20921; gene20931; gene20977; gene21055; gene21108; gene23169; gene23625; gene24094; gene25741; gene25765; gene25766; gene25768; gene25956; gene25961; gene25982; gene5101; gene7788; gene10374; gene15053; gene17903; gene20426; gene21061; gene25955; gene25957; gene25959; gene26176; gene2527; gene9138; gene9139; gene9194; gene10707; gene16077; gene16947; gene17025; gene18203; gene19327; gene19423; gene20591; gene20951; gene21314
enriched_vs_control,50,signaling,gene8543; gene12511
enriched_vs_control,25,signaling,gene373; gene14911; gene20488; gene25577
enriched_vs_control,7.692307692,signaling,gene764; gene1389; gene1509; gene1626; gene1670; gene1861; gene2467; gene2915; gene3082; gene4375; gene4420; gene4635; gene5053; gene5711; gene5784; gene6352; gene6651; gene6744; gene7104; gene8541; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene10558; gene11207; gene11630; gene13135; gene13168; gene13897; gene14771; gene17406; gene17636; gene18864; gene19246; gene24541; gene24924; gene25970; gene133_5de57afd; Pver_split_gene_g1652-g1652; gene582_5de57afd
enriched_vs_control,50,signaling,gene13279; gene18735
enriched_vs_control,100,signaling,gene12511
enriched_vs_control,6.666666667,signaling,gene1581; gene2856; gene3077; gene3126; gene3654; gene3655; gene4646; gene5118; gene5436; gene5466; gene6369; gene7352; gene7679; gene7680; gene7825; gene8615; gene11226; gene11939; gene12556; gene13572; gene14079; gene15302; gene18262; gene18391; gene3656; gene4008; gene4375; gene13481; gene18259; gene1738
enriched_vs_control,25,signaling,gene630; gene939; gene4776; gene10867; gene662_5de57afd
enriched_vs_control,20,signaling,gene19; gene2643; gene7747; gene13943; gene13944
enriched_vs_control,7.5,signaling,gene97; gene288; gene354; gene2049; gene2249; gene2250; gene3838; gene4013; gene5229; gene6259; gene8771; gene8852; gene8938; gene8939; gene8940; gene8957; gene9354; gene9593; gene9649; gene10243; gene10797; gene13044; gene13893; gene13899; gene14844; gene15715; gene15977; gene16188; gene16214; gene16622; gene18444; gene18850; gene24432; gene25968; gene11247; gene11835; gene20943; gene22145; gene22190; gene24030
enriched_vs_control,7.142857143,signaling,gene316; gene1966; gene3156; gene3389; gene4569; gene4570; gene4571; gene5239; gene5500; gene7673; gene7787; gene9614; gene12375; gene13370; gene13712; gene14272; gene15701; gene15943; gene16315; gene17154; gene17881; gene18302; gene18479; gene18620; gene20488; gene20611; gene25577; gene26210; gene582_5de57afd
enriched_vs_control,50,signaling,gene8055; gene12511; gene12512; gene17736
enriched_vs_control,100,signaling,gene15943
enriched_vs_control,100,signaling,gene7570
enriched_vs_control,33.33333333,signaling,gene752; gene5785; gene7570
enriched_vs_control,20,signaling,gene5777; gene15039; gene15186; gene15740; gene17894
enriched_vs_control,33.33333333,signaling,gene4687; gene4852; gene7570
enriched_vs_control,33.33333333,signaling,gene7570; gene8727; gene16052
enriched_vs_control,20,signaling,gene2643; gene7747; gene13699; gene13943; gene13944
enriched_vs_control,33.33333333,signaling,gene2987; gene7429; gene15943
enriched_vs_control,33.33333333,signaling,gene2643; gene7747; gene13944
enriched_vs_control,20,sulfur compound metabolic process,gene846; gene6024; gene14739; gene18546; gene26588
enriched_vs_control,7.692307692,sulfur compound metabolic process,gene134; gene1081; gene1082; gene1842; gene2049; gene4037; gene4639; gene4640; gene4659; gene4723; gene4726; gene4727; gene4729; gene5812; gene7239; gene10384; gene11421; gene11886; gene12568; gene12570; gene15426; gene17291; gene17295; gene18342; gene18766; gene18767; gene20227; gene22523; gene23070; gene23389; gene23646; gene24115; gene26260; gene26406; gene26630; gene1606; gene2113; gene23754; gene25086
enriched_vs_control,50,sulfur compound metabolic process,gene18067; gene26687
enriched_vs_control,50,sulfur compound metabolic process,gene1842; gene2802; gene22974; gene26406
enriched_vs_control,66.66666667,sulfur compound metabolic process,gene1842; gene26064; gene26406
enriched_vs_control,20,telomere organization,gene187; gene795; gene2644; gene8355; gene9387
enriched_vs_control,20,telomere organization,gene187; gene2644; gene9387; gene14278; gene23023; gene417_5de57afd
enriched_vs_control,33.33333333,transmembrane transport,gene10340; gene10341; gene10342; gene10343; gene10344; gene10345
enriched_vs_control,33.33333333,transmembrane transport,gene24160; gene24575; gene10341
enriched_vs_control,4.054054054,transmembrane transport,gene82; gene913; gene953; gene1184; gene2294; gene3683; gene3913; gene3915; gene4074; gene5446; gene5946; gene5947; gene5948; gene5949; gene6331; gene6349; gene6437; gene6648; gene6764; gene6795; gene7598; gene8706; gene8743; gene8744; gene9266; gene9377; gene9590; gene10381; gene11090; gene11095; gene11497; gene11942; gene12231; gene12616; gene12751; gene12856; gene12882; gene13600; gene13606; gene13607; gene14311; gene14660; gene14662; gene15069; gene15089; gene15330; gene15334; gene16081; gene16510; gene16518; gene16810; gene16814; gene16815; gene17533; gene17585; gene17672; gene17780; gene18253; gene19903; gene19978; gene20362; gene20548; gene21381; gene21487; gene21569; gene23173; gene23560; gene24031; gene24772; gene24948; gene25108; gene26304; gene26305; gene8432
enriched_vs_control,14.28571429,transmembrane transport,gene2871; gene2872; gene2873; gene5841; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene18506; gene24661; gene25237; gene25954
enriched_vs_control,2.5,vesicle-mediated transport,gene5; gene578; gene929; gene946; gene1147; gene1261; gene1320; gene1557; gene1695; gene1895; gene1896; gene1900; gene2217; gene2298; gene2562; gene2574; gene2717; gene2719; gene2722; gene2847; gene2903; gene3011; gene3116; gene3550; gene3556; gene3606; gene3609; gene3809; gene4036; gene4432; gene4601; gene5226; gene5855; gene5988; gene6248; gene6452; gene6585; gene6586; gene6596; gene6922; gene7027; gene7261; gene7332; gene7632; gene7952; gene8314; gene8326; gene8892; gene8893; gene8933; gene8935; gene9179; gene9206; gene9715; gene9861; gene9895; gene10004; gene10005; gene10269; gene10355; gene10364; gene10619; gene10623; gene10877; gene10900; gene10980; gene11124; gene11187; gene11754; gene11896; gene11908; gene11921; gene11939; gene12119; gene12189; gene12392; gene12394; gene12440; gene12509; gene12517; gene12953; gene13000; gene13365; gene13537; gene13598; gene13690; gene13706; gene13953; gene14028; gene14220; gene14223; gene14228; gene14857; gene14942; gene15309; gene15663; gene15664; gene15770; gene15772; gene16221; gene16342; gene16456; gene16475; gene16550; gene16615; gene16616; gene16706; gene17140; gene17507; gene17512; gene17738; gene17744; gene17826; gene17827; gene17855; gene17865; gene18022; gene18254; gene18336; gene18661; gene18718; gene18799; gene18817; gene19041; gene19196; gene19731; gene19815; gene19927; gene20394; gene20485; gene21112; gene21424; gene21912; gene22883; gene23025; gene23026; gene23998; gene25354; gene25578; gene25584; gene25783; gene26015; gene26061; gene26423; gene26520; gene525_5de57afd; gene601_5de57afd; gene802; gene3891; gene5508; gene8142; gene9343; gene1126; gene1260; gene2038; gene2373; gene4129; gene5314; gene6402; gene6403; gene7933; gene8276; gene8615; gene9458; gene10271; gene11557; gene12188; gene12997; gene12998; gene13707; gene15029; gene16867; gene16868; gene16905; gene18221; gene18463; gene18497; gene18570; gene19369; gene19430; gene19814; gene19887; gene21171; gene23134; gene23362; gene23598; gene23772; gene26325; gene26840; gene4878; gene10376; gene10542; gene11247; gene11835; gene15125; gene16218; gene20943; gene22004; gene22145; gene22190; gene22703; gene24030
enriched_vs_control,10.52631579,vesicle-mediated transport,gene1039; gene1126; gene1935; gene2451; gene5730; gene6941; gene7083; gene7703; gene8251; gene9168; gene9283; gene9663; gene10592; gene12111; gene16615; gene16616; gene26084; gene26085; gene26554
enriched_vs_control,20,vesicle-mediated transport,gene2144; gene2640; gene4566; gene9323; gene12126
enriched_vs_control,100,vesicle-mediated transport,gene7570
enriched_vs_control,100,vitamin metabolic process,gene15598
enriched_vs_control,3.58974359,cellular anatomical entity,gene100; gene396; gene421; gene422; gene752; gene763; gene775; gene816; gene969; gene1150; gene1203; gene1271; gene1482; gene1630; gene1835; gene2043; gene2202; gene2210; gene2351; gene2358; gene2380; gene2383; gene2573; gene2677; gene2817; gene2982; gene3055; gene3589; gene3765; gene3923; gene3925; gene4227; gene4260; gene4375; gene4410; gene4427; gene4748; gene4805; gene4858; gene5230; gene5239; gene5397; gene5481; gene5510; gene5594; gene5785; gene5804; gene6045; gene6175; gene6291; gene6443; gene6542; gene6631; gene6851; gene6902; gene7148; gene7433; gene7645; gene7654; gene7950; gene8045; gene8719; gene8720; gene8915; gene9017; gene9039; gene9168; gene9314; gene10062; gene10199; gene10275; gene10276; gene10277; gene10284; gene10358; gene10430; gene10479; gene11079; gene11289; gene11522; gene11619; gene12177; gene12321; gene12483; gene12484; gene12499; gene12684; gene12729; gene12935; gene13004; gene13021; gene13521; gene13530; gene13716; gene14128; gene14237; gene14403; gene14422; gene14495; gene14525; gene14656; gene14678; gene14844; gene14991; gene14992; gene15186; gene15197; gene15401; gene15431; gene15654; gene15655; gene15656; gene15780; gene15883; gene15963; gene15992; gene16101; gene16104; gene16655; gene17288; gene17445; gene17472; gene17583; gene17709; gene17716; gene17750; gene17888; gene17932; gene17950; gene18166; gene18170; gene18171; gene18318; gene18363; gene18379; gene18402; gene18561; gene18566; gene18574; gene18700; gene18778; gene18797; gene18824; gene19083; gene19157; gene19280; gene19344; gene19361; gene19384; gene19402; gene19527; gene19528; gene19596; gene19680; gene19793; gene19796; gene19829; gene19863; gene19895; gene20012; gene20031; gene20188; gene20209; gene20360; gene20443; gene20718; gene20894; gene20925; gene20974; gene21627; gene21730; gene21752; gene22003; gene22013; gene22214; gene22450; gene22788; gene23276; gene23372; gene23484; gene23505; gene23635; gene23729; gene24530; gene24991; gene25037; gene25587; gene25816; gene25909; gene26003; gene26089; gene26290; gene26631; gene26679; gene26807
enriched_vs_control,4.761904762,catalytic activity,gene130; gene423; gene842; gene881; gene1966; gene2043; gene2268; gene2351; gene2712; gene3156; gene3564; gene3565; gene4340; gene4463; gene4718; gene7583; gene7586; gene7890; gene8009; gene8909; gene10083; gene10557; gene11529; gene12451; gene12611; gene13044; gene14316; gene14885; gene15699; gene16748; gene17110; gene17383; gene17755; gene21373; gene23054; gene23355; gene25637; gene25792; gene26008; gene26210; gene6589; gene14547
enriched_vs_control,50,cellular anatomical entity,gene606; gene22771
enriched_vs_control,33.33333333,cellular anatomical entity,gene1104; gene8105; gene11774
enriched_vs_control,16.66666667,cellular anatomical entity,gene545; gene2043; gene2351; gene2982; gene12566; gene18092
enriched_vs_control,25,catalytic activity,gene846; gene14739; gene18546; gene26588
enriched_vs_control,50,cellular anatomical entity,gene13135; gene19246
enriched_vs_control,40,regulation of biological process,gene5335; gene7971; gene8120; gene12511; gene12512
enriched_vs_control,9.523809524,regulation of biological process,gene6248; gene7332; gene8121; gene8893; gene8933; gene8935; gene10364; gene10619; gene10620; gene10623; gene11896; gene12509; gene12511; gene12517; gene13365; gene14942; gene17736; gene17737; gene17738; gene17826; gene17827; gene525_5de57afd
enriched_vs_control,100,protein containing complex,gene11175
enriched_vs_control,100,extracellular region,gene16616
enriched_vs_control,100,extracellular region,gene16615; gene16616
enriched_vs_control,25,organelle,gene16605; gene4047; gene5660; gene8854
enriched_vs_control,50,organelle,gene18093; gene19316
enriched_vs_control,25,organelle,gene1484; gene3836; gene15539; gene15943
enriched_vs_control,10.52631579,organelle,gene335; gene630; gene759; gene939; gene1391; gene5727; gene5996; gene6353; gene6873; gene8833; gene9360; gene9424; gene15862; gene17431; gene17444; gene26210; gene662_5de57afd; gene22857; gene24759; gene1940
enriched_vs_control,1.818181818,organelle,gene75; gene94; gene100; gene313; gene369; gene376; gene407; gene419; gene502; gene560; gene578; gene702; gene848; gene887; gene888; gene895; gene1099; gene1147; gene1273; gene1343; gene1373; gene1375; gene1376; gene1676; gene1706; gene1819; gene1860; gene1871; gene1877; gene1891; gene1911; gene1912; gene1917; gene1927; gene1929; gene2034; gene2052; gene2055; gene2076; gene2094; gene2096; gene2144; gene2172; gene2175; gene2233; gene2353; gene2356; gene2451; gene2518; gene2554; gene2589; gene2604; gene2613; gene2732; gene2783; gene2829; gene2857; gene2886; gene2903; gene2963; gene3245; gene3251; gene3324; gene3328; gene3411; gene3432; gene3487; gene3566; gene3681; gene3745; gene3836; gene3872; gene3975; gene3976; gene4198; gene4380; gene4386; gene4388; gene4420; gene4570; gene4633; gene4645; gene4724; gene4739; gene4751; gene4809; gene4865; gene4870; gene4872; gene4964; gene5028; gene5037; gene5047; gene5048; gene5085; gene5089; gene5111; gene5166; gene5173; gene5262; gene5267; gene5355; gene5396; gene5422; gene5440; gene5502; gene5510; gene5622; gene5661; gene5701; gene5724; gene5730; gene5733; gene5823; gene5863; gene6058; gene6195; gene6215; gene6325; gene6409; gene6411; gene6426; gene6521; gene6636; gene6676; gene6694; gene6870; gene6915; gene6941; gene7111; gene7112; gene7215; gene7362; gene7597; gene7613; gene7654; gene7700; gene7858; gene7938; gene7987; gene8030; gene8108; gene8118; gene8151; gene8190; gene8229; gene8306; gene8358; gene8361; gene8386; gene8587; gene8660; gene8875; gene8890; gene8927; gene8947; gene8962; gene9029; gene9128; gene9136; gene9227; gene9241; gene9283; gene9326; gene9521; gene9522; gene9549; gene9568; gene9733; gene9755; gene9778; gene9816; gene9818; gene9872; gene9878; gene9881; gene10225; gene10486; gene10547; gene10569; gene10691; gene10692; gene10827; gene10871; gene10911; gene10926; gene11079; gene11163; gene11180; gene11203; gene11258; gene11360; gene11409; gene11411; gene11464; gene11497; gene11514; gene11545; gene11664; gene11670; gene11748; gene11749; gene11880; gene12029; gene12036; gene12058; gene12059; gene12060; gene12144; gene12151; gene12248; gene12285; gene12312; gene12322; gene12328; gene12334; gene12541; gene12572; gene12599; gene12781; gene12824; gene12882; gene12972; gene13042; gene13094; gene13154; gene13207; gene13407; gene13522; gene13694; gene13755; gene13806; gene13812; gene13901; gene13932; gene14003; gene14016; gene14047; gene14081; gene14153; gene14186; gene14239; gene14246; gene14368; gene14461; gene14589; gene14691; gene14745; gene14796; gene14863; gene14896; gene14991; gene14992; gene15021; gene15138; gene15139; gene15141; gene15169; gene15234; gene15283; gene15327; gene15343; gene15639; gene15641; gene15654; gene15655; gene15656; gene15783; gene15784; gene15790; gene15846; gene15965; gene15975; gene16023; gene16123; gene16147; gene16160; gene16226; gene16243; gene16291; gene16450; gene16610; gene16737; gene16754; gene16755; gene16785; gene16786; gene16958; gene16969; gene17091; gene17093; gene17180; gene17273; gene17321; gene17376; gene17386; gene17438; gene17494; gene17559; gene17582; gene17583; gene17659; gene17676; gene17709; gene17716; gene17742; gene18215; gene18358; gene18574; gene18576; gene18630; gene18679; gene18700; gene18702; gene18778; gene18797; gene18800; gene18877; gene18973; gene19005; gene19006; gene19008; gene19044; gene19083; gene19102; gene19269; gene19542; gene19829; gene19863; gene19915; gene20012; gene20031; gene20049; gene20403; gene20441; gene20521; gene20556; gene20736; gene20799; gene20833; gene20945; gene20974; gene21041; gene21068; gene21072; gene21174; gene21220; gene21222; gene21306; gene21455; gene21458; gene21564; gene21633; gene21752; gene21780; gene21813; gene21838; gene21870; gene21895; gene21912; gene21945; gene21986; gene22013; gene22058; gene22061; gene22077; gene22214; gene22292; gene22356; gene22427; gene22450; gene22553; gene22557; gene22577; gene22685; gene22694; gene22747; gene22748; gene22749; gene22805; gene22809; gene22970; gene23053; gene23227; gene23357; gene23484; gene23619; gene23635; gene23668; gene23881; gene23890; gene23996; gene24109; gene24118; gene24260; gene24398; gene24617; gene25037; gene25110; gene25265; gene25320; gene25449; gene25460; gene25470; gene25535; gene25683; gene25760; gene25825; gene25876; gene26017; gene26047; gene26084; gene26085; gene26096; gene26146; gene26335; gene26407; gene26414; gene26496; gene26544; gene26546; gene26554; gene26660; gene373_5de57afd; gene601_5de57afd; gene620_5de57afd; gene625_5de57afd; gene635_5de57afd; gene751_5de57afd; gene758_5de57afd; Pver_split_gene_g499-g499; gene4796; gene7116; gene8458; gene10635; gene16548; gene439_5de57afd; gene2071; gene2296; gene4934; gene7235; gene8456; gene9327; gene11145; gene14312; gene17842; gene18115; gene24446; gene8084; gene18237
enriched_vs_control,14.28571429,organelle,gene555; gene3055; gene4407; gene8105; gene11843; gene16565; gene26488
enriched_vs_control,50,organelle,gene187; gene7345
enriched_vs_control,50,organelle,gene6577; gene8459
enriched_vs_control,33.33333333,organelle,gene3908; gene5236; gene16441
enriched_vs_control,20,organelle,gene1821; gene4810; gene11240; gene16956; gene18257
