experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,6.25,32,heat shock protein binding,gene_g433; gene_g1273; gene_g1406; gene_g1618; gene_g3863; gene_g4249; gene_g4251; gene_g4587; gene_g5139; gene_g6834; gene_g8115; gene_g8146; gene_g8247; gene_g9637; gene_g10004; gene_g10640; gene_g10915; gene_g14390; gene_g14608; gene_g14977; gene_g15891; gene_g16615; gene_g16616; gene_g17018; gene_g20107; gene_g21348; gene_g22889; gene_g24637; gene_g25723; gene_g25935; gene_g26053; gene_g26229; gene_721_5de57afd
enriched_vs_control,6.25,48,heat shock protein binding,gene_g264; gene_g1819; gene_g2650; gene_g2812; gene_g2997; gene_g4249; gene_g4251; gene_g4415; gene_g4489; gene_g5449; gene_g7186; gene_g7679; gene_g7680; gene_g8115; gene_g8247; gene_g8814; gene_g8888; gene_g9366; gene_g10004; gene_g10640; gene_g10789; gene_g11047; gene_g11462; gene_g12407; gene_g12572; gene_g14608; gene_g14914; gene_g14977; gene_g15359; gene_g15561; gene_g15599; gene_g16290; gene_g16362; gene_g16604; gene_g16615; gene_g16616; gene_g16642; gene_g16644; gene_g17729; gene_g17991; gene_g18707; gene_g18724; gene_g20825; gene_g21002; gene_g24323; gene_g26098; gene_g26099; gene_g7377
enriched_vs_control,20,5,lipid binding,gene_g1757; gene_g3250; gene_g13135; gene_g19246; gene_g22123
enriched_vs_control,20,5,molecular function regulator activity,gene_g14; gene_g294; gene_g6973; gene_g12036; gene_g12955
enriched_vs_control,50,2,molecular function regulator activity,gene_g7570; gene_g9934
enriched_vs_control,50,2,molecular function regulator activity,gene_g5187; gene_g7570
enriched_vs_control,21.42857143,14,molecular function regulator activity,gene_g130; gene_g630; gene_g5386; gene_g6262; gene_g6263; gene_g6264; gene_g6266; gene_g6844; gene_g11529; gene_g13044; gene_g17110; gene_g20547; gene_g23054; gene_g1391; gene_662_5de57afd
enriched_vs_control,14.28571429,14,molecular transducer activity,gene_g8055; gene_g8893; gene_g8935; gene_g10620; gene_g10623; gene_g11896; gene_g12509; gene_g12511; gene_g12512; gene_g12517; gene_g13365; gene_g14942; gene_g17736; gene_g17826; gene_525_5de57afd
enriched_vs_control,100,1,protein binding,gene_g4609
enriched_vs_control,1.38121547,1448,protein binding,gene_g38; gene_g74; gene_g123; gene_g129; gene_g130; gene_g138; gene_g166; gene_g168; gene_g189; gene_g194; gene_g213; gene_g264; gene_g266; gene_g278; gene_g285; gene_g288; gene_g293; gene_g295; gene_g316; gene_g400; gene_g440; gene_g441; gene_g461; gene_g478; gene_g482; gene_g502; gene_g543; gene_g544; gene_g548; gene_g550; gene_g572; gene_g574; gene_g576; gene_g593; gene_g594; gene_g595; gene_g598; gene_g610; gene_g612; gene_g625; gene_g635; gene_g653; gene_g654; gene_g751; gene_g757; gene_g764; gene_g775; gene_g778; gene_g779; gene_g789; gene_g842; gene_g846; gene_g847; gene_g880; gene_g923; gene_g969; gene_g979; gene_g981; gene_g1059; gene_g1067; gene_g1068; gene_g1127; gene_g1177; gene_g1189; gene_g1270; gene_g1273; gene_g1292; gene_g1302; gene_g1338; gene_g1364; gene_g1395; gene_g1441; gene_g1458; gene_g1489; gene_g1490; gene_g1521; gene_g1583; gene_g1589; gene_g1597; gene_g1598; gene_g1610; gene_g1619; gene_g1670; gene_g1700; gene_g1710; gene_g1712; gene_g1754; gene_g1755; gene_g1772; gene_g1805; gene_g1878; gene_g1882; gene_g1890; gene_g1899; gene_g1922; gene_g1952; gene_g1963; gene_g1975; gene_g1978; gene_g2041; gene_g2066; gene_g2121; gene_g2170; gene_g2171; gene_g2176; gene_g2200; gene_g2202; gene_g2203; gene_g2219; gene_g2229; gene_g2233; gene_g2234; gene_g2246; gene_g2256; gene_g2258; gene_g2262; gene_g2301; gene_g2357; gene_g2378; gene_g2388; gene_g2390; gene_g2391; gene_g2439; gene_g2462; gene_g2480; gene_g2481; gene_g2482; gene_g2483; gene_g2484; gene_g2485; gene_g2486; gene_g2487; gene_g2504; gene_g2510; gene_g2515; gene_g2518; gene_g2524; gene_g2549; gene_g2553; gene_g2563; gene_g2564; gene_g2612; gene_g2639; gene_g2669; gene_g2673; gene_g2674; gene_g2680; gene_g2687; gene_g2704; gene_g2705; gene_g2722; gene_g2725; gene_g2731; gene_g2747; gene_g2750; gene_g2766; gene_g2767; gene_g2775; gene_g2783; gene_g2799; gene_g2812; gene_g2817; gene_g2823; gene_g2825; gene_g2826; gene_g2849; gene_g2860; gene_g2863; gene_g2865; gene_g2868; gene_g2881; gene_g2914; gene_g2932; gene_g2995; gene_g2998; gene_g3011; gene_g3017; gene_g3029; gene_g3055; gene_g3067; gene_g3112; gene_g3152; gene_g3165; gene_g3169; gene_g3175; gene_g3181; gene_g3255; gene_g3294; gene_g3302; gene_g3329; gene_g3341; gene_g3343; gene_g3360; gene_g3361; gene_g3362; gene_g3378; gene_g3402; gene_g3417; gene_g3450; gene_g3460; gene_g3487; gene_g3510; gene_g3520; gene_g3548; gene_g3573; gene_g3596; gene_g3653; gene_g3682; gene_g3692; gene_g3716; gene_g3744; gene_g3750; gene_g3751; gene_g3770; gene_g3775; gene_g3848; gene_g3866; gene_g3910; gene_g3917; gene_g3957; gene_g3970; gene_g3977; gene_g3980; gene_g3986; gene_g3987; gene_g3999; gene_g4001; gene_g4054; gene_g4063; gene_g4077; gene_g4104; gene_g4140; gene_g4150; gene_g4155; gene_g4197; gene_g4198; gene_g4218; gene_g4240; gene_g4299; gene_g4313; gene_g4315; gene_g4348; gene_g4373; gene_g4377; gene_g4379; gene_g4401; gene_g4431; gene_g4511; gene_g4513; gene_g4515; gene_g4570; gene_g4586; gene_g4594; gene_g4606; gene_g4615; gene_g4635; gene_g4657; gene_g4658; gene_g4670; gene_g4688; gene_g4729; gene_g4749; gene_g4761; gene_g4762; gene_g4763; gene_g4764; gene_g4765; gene_g4766; gene_g4767; gene_g4768; gene_g4770; gene_g4771; gene_g4776; gene_g4780; gene_g4796; gene_g4809; gene_g4822; gene_g4827; gene_g4828; gene_g4838; gene_g4839; gene_g4840; gene_g4845; gene_g4852; gene_g4853; gene_g4854; gene_g4857; gene_g4879; gene_g4906; gene_g4912; gene_g4926; gene_g4930; gene_g4987; gene_g5007; gene_g5022; gene_g5041; gene_g5056; gene_g5058; gene_g5059; gene_g5065; gene_g5076; gene_g5077; gene_g5079; gene_g5089; gene_g5108; gene_g5109; gene_g5118; gene_g5147; gene_g5181; gene_g5183; gene_g5188; gene_g5205; gene_g5221; gene_g5236; gene_g5238; gene_g5251; gene_g5258; gene_g5271; gene_g5272; gene_g5275; gene_g5306; gene_g5329; gene_g5387; gene_g5389; gene_g5401; gene_g5405; gene_g5440; gene_g5450; gene_g5452; gene_g5453; gene_g5454; gene_g5487; gene_g5522; gene_g5529; gene_g5538; gene_g5563; gene_g5644; gene_g5656; gene_g5667; gene_g5677; gene_g5706; gene_g5708; gene_g5715; gene_g5733; gene_g5743; gene_g5783; gene_g5828; gene_g5834; gene_g5865; gene_g5884; gene_g5891; gene_g5896; gene_g5897; gene_g5960; gene_g5999; gene_g6044; gene_g6053; gene_g6070; gene_g6130; gene_g6140; gene_g6178; gene_g6201; gene_g6204; gene_g6239; gene_g6267; gene_g6278; gene_g6282; gene_g6352; gene_g6374; gene_g6375; gene_g6383; gene_g6425; gene_g6464; gene_g6548; gene_g6559; gene_g6600; gene_g6617; gene_g6658; gene_g6659; gene_g6663; gene_g6665; gene_g6667; gene_g6668; gene_g6676; gene_g6717; gene_g6756; gene_g6766; gene_g6834; gene_g6849; gene_g6864; gene_g6900; gene_g6901; gene_g6902; gene_g6909; gene_g6946; gene_g6959; gene_g6976; gene_g7028; gene_g7030; gene_g7074; gene_g7111; gene_g7112; gene_g7129; gene_g7162; gene_g7165; gene_g7172; gene_g7206; gene_g7230; gene_g7246; gene_g7279; gene_g7282; gene_g7307; gene_g7317; gene_g7318; gene_g7319; gene_g7320; gene_g7341; gene_g7346; gene_g7353; gene_g7362; gene_g7385; gene_g7402; gene_g7474; gene_g7487; gene_g7500; gene_g7517; gene_g7520; gene_g7522; gene_g7550; gene_g7551; gene_g7603; gene_g7613; gene_g7638; gene_g7717; gene_g7745; gene_g7746; gene_g7774; gene_g7784; gene_g7857; gene_g7873; gene_g7881; gene_g7920; gene_g7939; gene_g7950; gene_g7973; gene_g8041; gene_g8043; gene_g8073; gene_g8105; gene_g8108; gene_g8113; gene_g8122; gene_g8155; gene_g8181; gene_g8200; gene_g8208; gene_g8292; gene_g8306; gene_g8314; gene_g8343; gene_g8361; gene_g8377; gene_g8416; gene_g8467; gene_g8501; gene_g8502; gene_g8507; gene_g8508; gene_g8520; gene_g8524; gene_g8541; gene_g8545; gene_g8563; gene_g8610; gene_g8636; gene_g8637; gene_g8639; gene_g8642; gene_g8660; gene_g8661; gene_g8663; gene_g8670; gene_g8672; gene_g8688; gene_g8721; gene_g8749; gene_g8799; gene_g8813; gene_g8814; gene_g8815; gene_g8832; gene_g8890; gene_g8920; gene_g8928; gene_g8939; gene_g8940; gene_g8941; gene_g8942; gene_g8957; gene_g9001; gene_g9015; gene_g9016; gene_g9017; gene_g9029; gene_g9049; gene_g9129; gene_g9155; gene_g9168; gene_g9173; gene_g9179; gene_g9208; gene_g9237; gene_g9342; gene_g9343; gene_g9354; gene_g9355; gene_g9356; gene_g9375; gene_g9422; gene_g9457; gene_g9469; gene_g9477; gene_g9478; gene_g9484; gene_g9506; gene_g9509; gene_g9526; gene_g9539; gene_g9541; gene_g9552; gene_g9599; gene_g9604; gene_g9617; gene_g9618; gene_g9626; gene_g9636; gene_g9644; gene_g9678; gene_g9696; gene_g9793; gene_g9796; gene_g9809; gene_g9816; gene_g9818; gene_g9824; gene_g9849; gene_g9850; gene_g9853; gene_g9861; gene_g9862; gene_g9868; gene_g9884; gene_g9916; gene_g9919; gene_g9920; gene_g9927; gene_g9947; gene_g9971; gene_g9991; gene_g9995; gene_g9996; gene_g10002; gene_g10004; gene_g10012; gene_g10029; gene_g10059; gene_g10081; gene_g10101; gene_g10111; gene_g10115; gene_g10145; gene_g10168; gene_g10192; gene_g10214; gene_g10229; gene_g10268; gene_g10269; gene_g10284; gene_g10295; gene_g10354; gene_g10381; gene_g10457; gene_g10494; gene_g10515; gene_g10516; gene_g10550; gene_g10551; gene_g10552; gene_g10565; gene_g10570; gene_g10600; gene_g10607; gene_g10617; gene_g10658; gene_g10668; gene_g10673; gene_g10687; gene_g10716; gene_g10717; gene_g10718; gene_g10719; gene_g10731; gene_g10742; gene_g10796; gene_g10797; gene_g10798; gene_g10799; gene_g10829; gene_g10866; gene_g10915; gene_g10927; gene_g10950; gene_g10972; gene_g10983; gene_g11011; gene_g11083; gene_g11086; gene_g11099; gene_g11114; gene_g11116; gene_g11138; gene_g11173; gene_g11184; gene_g11188; gene_g11190; gene_g11195; gene_g11200; gene_g11205; gene_g11248; gene_g11256; gene_g11275; gene_g11361; gene_g11382; gene_g11410; gene_g11430; gene_g11439; gene_g11440; gene_g11441; gene_g11452; gene_g11460; gene_g11471; gene_g11511; gene_g11528; gene_g11529; gene_g11553; gene_g11576; gene_g11621; gene_g11627; gene_g11631; gene_g11669; gene_g11691; gene_g11727; gene_g11735; gene_g11757; gene_g11770; gene_g11771; gene_g11833; gene_g11834; gene_g11836; gene_g11837; gene_g11838; gene_g11842; gene_g11843; gene_g11852; gene_g11853; gene_g11913; gene_g11917; gene_g11922; gene_g11978; gene_g11989; gene_g12055; gene_g12066; gene_g12126; gene_g12128; gene_g12130; gene_g12139; gene_g12153; gene_g12166; gene_g12177; gene_g12230; gene_g12266; gene_g12304; gene_g12305; gene_g12308; gene_g12311; gene_g12333; gene_g12348; gene_g12356; gene_g12378; gene_g12393; gene_g12408; gene_g12427; gene_g12455; gene_g12491; gene_g12556; gene_g12560; gene_g12572; gene_g12600; gene_g12605; gene_g12632; gene_g12649; gene_g12665; gene_g12675; gene_g12734; gene_g12744; gene_g12757; gene_g12803; gene_g12819; gene_g12859; gene_g12897; gene_g12900; gene_g12913; gene_g12918; gene_g12928; gene_g12954; gene_g12962; gene_g12974; gene_g12985; gene_g12986; gene_g12988; gene_g13000; gene_g13005; gene_g13012; gene_g13013; gene_g13021; gene_g13038; gene_g13044; gene_g13062; gene_g13066; gene_g13105; gene_g13119; gene_g13126; gene_g13153; gene_g13154; gene_g13155; gene_g13164; gene_g13181; gene_g13184; gene_g13188; gene_g13201; gene_g13208; gene_g13224; gene_g13227; gene_g13229; gene_g13232; gene_g13233; gene_g13234; gene_g13254; gene_g13263; gene_g13265; gene_g13309; gene_g13312; gene_g13317; gene_g13368; gene_g13380; gene_g13439; gene_g13497; gene_g13530; gene_g13533; gene_g13544; gene_g13546; gene_g13549; gene_g13590; gene_g13594; gene_g13624; gene_g13690; gene_g13736; gene_g13784; gene_g13786; gene_g13809; gene_g13834; gene_g13869; gene_g13883; gene_g13892; gene_g13896; gene_g13926; gene_g13931; gene_g13970; gene_g13991; gene_g14023; gene_g14119; gene_g14169; gene_g14173; gene_g14200; gene_g14202; gene_g14235; gene_g14276; gene_g14284; gene_g14294; gene_g14310; gene_g14335; gene_g14372; gene_g14392; gene_g14417; gene_g14421; gene_g14425; gene_g14434; gene_g14548; gene_g14629; gene_g14667; gene_g14681; gene_g14705; gene_g14739; gene_g14741; gene_g14759; gene_g14772; gene_g14807; gene_g14815; gene_g14826; gene_g14849; gene_g14852; gene_g14873; gene_g14916; gene_g14937; gene_g14946; gene_g14952; gene_g14988; gene_g15000; gene_g15015; gene_g15079; gene_g15104; gene_g15107; gene_g15108; gene_g15110; gene_g15113; gene_g15116; gene_g15177; gene_g15190; gene_g15191; gene_g15238; gene_g15248; gene_g15302; gene_g15314; gene_g15359; gene_g15382; gene_g15387; gene_g15397; gene_g15399; gene_g15407; gene_g15408; gene_g15410; gene_g15428; gene_g15442; gene_g15452; gene_g15476; gene_g15492; gene_g15497; gene_g15498; gene_g15562; gene_g15579; gene_g15580; gene_g15620; gene_g15643; gene_g15659; gene_g15660; gene_g15713; gene_g15715; gene_g15731; gene_g15807; gene_g15822; gene_g15873; gene_g15896; gene_g15898; gene_g15900; gene_g15965; gene_g15973; gene_g15974; gene_g15981; gene_g16006; gene_g16007; gene_g16008; gene_g16057; gene_g16067; gene_g16163; gene_g16181; gene_g16205; gene_g16206; gene_g16219; gene_g16220; gene_g16240; gene_g16258; gene_g16264; gene_g16265; gene_g16291; gene_g16292; gene_g16322; gene_g16334; gene_g16346; gene_g16412; gene_g16419; gene_g16421; gene_g16435; gene_g16452; gene_g16454; gene_g16465; gene_g16466; gene_g16536; gene_g16538; gene_g16544; gene_g16589; gene_g16604; gene_g16614; gene_g16615; gene_g16616; gene_g16627; gene_g16628; gene_g16642; gene_g16687; gene_g16691; gene_g16694; gene_g16708; gene_g16710; gene_g16767; gene_g16784; gene_g16790; gene_g16798; gene_g16803; gene_g16815; gene_g16840; gene_g16844; gene_g16865; gene_g16883; gene_g16911; gene_g16912; gene_g16921; gene_g16922; gene_g16951; gene_g16958; gene_g16991; gene_g17006; gene_g17018; gene_g17072; gene_g17110; gene_g17120; gene_g17131; gene_g17134; gene_g17177; gene_g17180; gene_g17198; gene_g17253; gene_g17277; gene_g17278; gene_g17290; gene_g17313; gene_g17318; gene_g17320; gene_g17368; gene_g17376; gene_g17378; gene_g17386; gene_g17431; gene_g17463; gene_g17484; gene_g17494; gene_g17497; gene_g17500; gene_g17504; gene_g17565; gene_g17567; gene_g17582; gene_g17583; gene_g17604; gene_g17607; gene_g17637; gene_g17657; gene_g17660; gene_g17696; gene_g17698; gene_g17728; gene_g17758; gene_g17778; gene_g17802; gene_g17808; gene_g17823; gene_g17850; gene_g17915; gene_g17932; gene_g18027; gene_g18029; gene_g18045; gene_g18046; gene_g18051; gene_g18094; gene_g18104; gene_g18118; gene_g18120; gene_g18121; gene_g18127; gene_g18140; gene_g18144; gene_g18152; gene_g18155; gene_g18159; gene_g18161; gene_g18166; gene_g18175; gene_g18176; gene_g18179; gene_g18185; gene_g18276; gene_g18315; gene_g18336; gene_g18340; gene_g18416; gene_g18442; gene_g18477; gene_g18478; gene_g18487; gene_g18519; gene_g18529; gene_g18543; gene_g18544; gene_g18546; gene_g18565; gene_g18573; gene_g18576; gene_g18630; gene_g18639; gene_g18701; gene_g18702; gene_g18726; gene_g18739; gene_g18819; gene_g18850; gene_g18851; gene_g18888; gene_g18898; gene_g18899; gene_g18913; gene_g18930; gene_g18933; gene_g18980; gene_g19005; gene_g19006; gene_g19008; gene_g19030; gene_g19044; gene_g19063; gene_g19064; gene_g19070; gene_g19071; gene_g19072; gene_g19084; gene_g19087; gene_g19088; gene_g19147; gene_g19178; gene_g19181; gene_g19186; gene_g19189; gene_g19198; gene_g19199; gene_g19204; gene_g19211; gene_g19216; gene_g19229; gene_g19241; gene_g19246; gene_g19247; gene_g19271; gene_g19279; gene_g19286; gene_g19292; gene_g19309; gene_g19330; gene_g19357; gene_g19426; gene_g19434; gene_g19444; gene_g19474; gene_g19483; gene_g19508; gene_g19516; gene_g19525; gene_g19533; gene_g19536; gene_g19538; gene_g19572; gene_g19588; gene_g19607; gene_g19624; gene_g19641; gene_g19642; gene_g19646; gene_g19655; gene_g19658; gene_g19662; gene_g19669; gene_g19692; gene_g19707; gene_g19734; gene_g19748; gene_g19772; gene_g19795; gene_g19802; gene_g19807; gene_g19818; gene_g19819; gene_g19820; gene_g19857; gene_g19866; gene_g19900; gene_g19915; gene_g19922; gene_g19924; gene_g19939; gene_g19972; gene_g19980; gene_g19998; gene_g20017; gene_g20027; gene_g20094; gene_g20127; gene_g20177; gene_g20179; gene_g20206; gene_g20272; gene_g20276; gene_g20278; gene_g20321; gene_g20331; gene_g20342; gene_g20347; gene_g20350; gene_g20356; gene_g20360; gene_g20362; gene_g20375; gene_g20376; gene_g20382; gene_g20438; gene_g20467; gene_g20488; gene_g20500; gene_g20521; gene_g20528; gene_g20556; gene_g20614; gene_g20617; gene_g20619; gene_g20621; gene_g20624; gene_g20649; gene_g20659; gene_g20662; gene_g20664; gene_g20669; gene_g20675; gene_g20685; gene_g20688; gene_g20712; gene_g20722; gene_g20733; gene_g20745; gene_g20799; gene_g20805; gene_g20831; gene_g20848; gene_g20853; gene_g20945; gene_g20947; gene_g21009; gene_g21013; gene_g21026; gene_g21041; gene_g21048; gene_g21072; gene_g21078; gene_g21102; gene_g21170; gene_g21183; gene_g21193; gene_g21205; gene_g21219; gene_g21220; gene_g21221; gene_g21222; gene_g21232; gene_g21236; gene_g21251; gene_g21306; gene_g21342; gene_g21368; gene_g21391; gene_g21404; gene_g21406; gene_g21411; gene_g21422; gene_g21455; gene_g21463; gene_g21510; gene_g21544; gene_g21564; gene_g21567; gene_g21568; gene_g21603; gene_g21619; gene_g21622; gene_g21633; gene_g21689; gene_g21700; gene_g21780; gene_g21787; gene_g21802; gene_g21806; gene_g21813; gene_g21822; gene_g21847; gene_g21856; gene_g21863; gene_g21866; gene_g21870; gene_g21882; gene_g21895; gene_g21912; gene_g21940; gene_g21945; gene_g21996; gene_g22005; gene_g22011; gene_g22023; gene_g22058; gene_g22061; gene_g22073; gene_g22077; gene_g22082; gene_g22195; gene_g22224; gene_g22228; gene_g22239; gene_g22292; gene_g22327; gene_g22335; gene_g22347; gene_g22349; gene_g22361; gene_g22402; gene_g22427; gene_g22452; gene_g22467; gene_g22483; gene_g22485; gene_g22496; gene_g22501; gene_g22517; gene_g22553; gene_g22556; gene_g22557; gene_g22577; gene_g22606; gene_g22632; gene_g22646; gene_g22685; gene_g22687; gene_g22694; gene_g22741; gene_g22748; gene_g22749; gene_g22750; gene_g22755; gene_g22784; gene_g22788; gene_g22805; gene_g22863; gene_g22869; gene_g22875; gene_g22890; gene_g22897; gene_g22919; gene_g22959; gene_g22961; gene_g22970; gene_g22987; gene_g23054; gene_g23083; gene_g23092; gene_g23101; gene_g23124; gene_g23144; gene_g23159; gene_g23174; gene_g23191; gene_g23224; gene_g23228; gene_g23242; gene_g23246; gene_g23254; gene_g23262; gene_g23347; gene_g23351; gene_g23352; gene_g23374; gene_g23418; gene_g23447; gene_g23539; gene_g23608; gene_g23613; gene_g23620; gene_g23646; gene_g23649; gene_g23687; gene_g23743; gene_g23782; gene_g23792; gene_g23817; gene_g23849; gene_g23853; gene_g23869; gene_g23871; gene_g23879; gene_g23885; gene_g23890; gene_g23911; gene_g23936; gene_g23984; gene_g23996; gene_g23998; gene_g24032; gene_g24106; gene_g24166; gene_g24172; gene_g24202; gene_g24312; gene_g24361; gene_g24374; gene_g24398; gene_g24408; gene_g24460; gene_g24472; gene_g24497; gene_g24505; gene_g24506; gene_g24509; gene_g24517; gene_g24530; gene_g24536; gene_g24540; gene_g24633; gene_g24649; gene_g24706; gene_g24707; gene_g24724; gene_g24733; gene_g24751; gene_g24756; gene_g24800; gene_g24861; gene_g24902; gene_g24904; gene_g24930; gene_g25001; gene_g25028; gene_g25038; gene_g25071; gene_g25080; gene_g25102; gene_g25114; gene_g25144; gene_g25163; gene_g25186; gene_g25229; gene_g25233; gene_g25234; gene_g25238; gene_g25265; gene_g25288; gene_g25317; gene_g25346; gene_g25356; gene_g25405; gene_g25409; gene_g25470; gene_g25487; gene_g25515; gene_g25535; gene_g25577; gene_g25600; gene_g25625; gene_g25643; gene_g25645; gene_g25708; gene_g25714; gene_g25727; gene_g25755; gene_g25763; gene_g25803; gene_g25817; gene_g25818; gene_g25831; gene_g25845; gene_g25850; gene_g25851; gene_g25917; gene_g25935; gene_g25936; gene_g25939; gene_g25969; gene_g26023; gene_g26034; gene_g26064; gene_g26079; gene_g26084; gene_g26085; gene_g26110; gene_g26142; gene_g26147; gene_g26149; gene_g26166; gene_g26167; gene_g26174; gene_g26185; gene_g26193; gene_g26203; gene_g26214; gene_g26241; gene_g26258; gene_g26260; gene_g26285; gene_g26309; gene_g26311; gene_g26338; gene_g26381; gene_g26390; gene_g26408; gene_g26427; gene_g26454; gene_g26455; gene_g26464; gene_g26505; gene_g26549; gene_g26559; gene_g26621; gene_g26647; gene_g26685; gene_g26735; gene_g26758; gene_g26833; gene_novel_model_26_5de57afd; gene_novel_model_59_5de57afd; gene_novel_model_60_5de57afd; gene_novel_model_118_5de57afd; gene_novel_model_133_5de57afd; gene_novel_model_259_5de57afd; gene_novel_model_270_5de57afd; gene_novel_model_290_5de57afd; gene_novel_model_354_5de57afd; gene_novel_model_406_5de57afd; gene_novel_model_437_5de57afd; gene_novel_model_486_5de57afd; gene_novel_model_495_5de57afd; gene_novel_model_669_5de57afd; gene_novel_model_773_5de57afd; gene_novel_model_817_5de57afd; gene_split_gene_g6071-g6071; gene_g1394; gene_g11150; gene_g20580; gene_g11247; gene_g11835; gene_g15125; gene_g18237; gene_g20943; gene_g21036; gene_g22145; gene_g22190; gene_g24030
enriched_vs_control,50,2,protein binding,gene_g19196; gene_g19246
enriched_vs_control,100,1,protein binding,gene_g19246
enriched_vs_control,20,5,RNA binding,gene_g1156; gene_g1157; gene_g9496; gene_g10921; gene_g16619
enriched_vs_control,10,30,transport,gene_g1039; gene_g2066; gene_g2542; gene_g2867; gene_g3556; gene_g7083; gene_g9425; gene_g10268; gene_g12061; gene_g12831; gene_g13135; gene_g14500; gene_g16577; gene_g16615; gene_g16616; gene_g17072; gene_g18022; gene_g18497; gene_g18799; gene_g18817; gene_g19246; gene_g20008; gene_g20394; gene_g20485; gene_g23026; gene_g25600; gene_g25760; gene_g25761; gene_g26515; gene_g26520
enriched_vs_control,8.108108108,37,transporter activity,gene_g6248; gene_g7332; gene_g8055; gene_g8120; gene_g8893; gene_g8933; gene_g8935; gene_g10364; gene_g10619; gene_g10620; gene_g10623; gene_g11896; gene_g12509; gene_g12511; gene_g12512; gene_g12517; gene_g13365; gene_g14942; gene_g17736; gene_g17738; gene_g17826; gene_g17827; gene_525_5de57afd; gene_g481; gene_g4261; gene_g5759; gene_g7182; gene_g8051; gene_g8104; gene_g8121; gene_g10621; gene_g10622; gene_g11856; gene_g12513; gene_g12514; gene_g17737; gene_g25582; gene_g5758
enriched_vs_control,33.33333333,3,transporter activity,gene_g2345; gene_g10340; gene_g10343
enriched_vs_control,20,10,transporter activity,gene_g2345; gene_g3800; gene_g10340; gene_g10341; gene_g10342; gene_g10343; gene_g10344; gene_g10345; gene_g22816; gene_g22817
enriched_vs_control,3.529411765,85,transporter activity,gene_g4262; gene_g5346; gene_g7380; gene_g11856; gene_g12514; gene_g12736; gene_g17737; gene_g25582; gene_g481; gene_g766; gene_g1143; gene_g1253; gene_g1820; gene_g3846; gene_g3847; gene_g3848; gene_g4261; gene_g4263; gene_g4741; gene_g5759; gene_g6248; gene_g6299; gene_g6386; gene_g6387; gene_g6388; gene_g6534; gene_g6535; gene_g7182; gene_g7332; gene_g7379; gene_g7436; gene_g7487; gene_g8051; gene_g8055; gene_g8104; gene_g8120; gene_g8121; gene_g8893; gene_g8894; gene_g8933; gene_g8935; gene_g10364; gene_g10619; gene_g10620; gene_g10621; gene_g10622; gene_g10623; gene_g10624; gene_g11171; gene_g11298; gene_g11896; gene_g12509; gene_g12511; gene_g12512; gene_g12513; gene_g12517; gene_g13365; gene_g13366; gene_g13370; gene_g13371; gene_g13621; gene_g14815; gene_g14942; gene_g16025; gene_g16239; gene_g16240; gene_g16808; gene_g16853; gene_g17738; gene_g17826; gene_g17827; gene_g22729; gene_g22730; gene_g22731; gene_g22732; gene_g25588; gene_g25790; gene_g26311; gene_g26312; gene_g26313; gene_525_5de57afd; gene_split_gene_g12735-g12735; gene_split_gene_g15247-g15247; gene_g4264; gene_g6249; gene_g6250; gene_g6251; gene_g11305
enriched_vs_control,33.33333333,6,transporter activity,gene_g10340; gene_g10341; gene_g10342; gene_g10343; gene_g10344; gene_g10345
enriched_vs_control,7.01754386,57,transporter activity,gene_g82; gene_g104; gene_g106; gene_g393; gene_g583; gene_g900; gene_g901; gene_g902; gene_g903; gene_g904; gene_g913; gene_g3663; gene_g3664; gene_g3762; gene_g3913; gene_g4992; gene_g5470; gene_g5899; gene_g5946; gene_g5947; gene_g5949; gene_g6159; gene_g6160; gene_g6161; gene_g6164; gene_g6165; gene_g6168; gene_g6169; gene_g6170; gene_g6171; gene_g6333; gene_g6334; gene_g6335; gene_g6795; gene_g7598; gene_g9266; gene_g9427; gene_g11090; gene_g11260; gene_g11663; gene_g11946; gene_g13585; gene_g15069; gene_g15330; gene_g16518; gene_g17533; gene_g18253; gene_g19903; gene_g21487; gene_g21569; gene_g23196; gene_g23560; gene_g24031; gene_g25941; gene_g26304; gene_g26375; gene_g26581
enriched_vs_control,20,5,transporter activity,gene_g277; gene_g327; gene_g1594; gene_g7015; gene_g12246
enriched_vs_control,33.33333333,6,transporter activity,gene_g10340; gene_g10342; gene_g10343; gene_g10344; gene_g10345; gene_g10341
