"","C26","C30","E15","E2","E4","C17","C18","C19","C20","C21","C22","C23","C24","C25","C27","C28","C29","C31","C32","E1","E10","E11","E12","E13","E14","E16","E3","E5","E6","E7","E8","E9"
"Pver_gene_g19090",761,744,431,1334,867,695,431,970,822,276,453,207,531,692,534,513,711,758,520,2583,640,587,782,546,418,579,2097,1183,2583,1122,744,674
"Pver_gene_g15541",2418,1875,1187,3751,4769,2198,1266,5173,2518,675,1639,754,1689,1642,1681,1546,2703,3253,2048,13358,1928,2028,2121,1851,1485,1603,14533,11385,19690,2504,2671,1865
"Pver_gene_g5949",16,19,32,105,66,18,90,22,42,20,31,25,26,60,49,68,32,26,63,50,36,41,52,120,101,90,145,30,39,79,122,62
"Pver_gene_g4156",103,159,36,12,127,10,69,261,203,42,121,227,174,26,50,175,139,154,21,22,22,11,22,54,37,48,19,9,12,20,11,31
"Pver_gene_g14920",1698,2969,2645,2286,1510,2423,1799,2314,2009,1415,2128,2058,1752,2896,2394,2170,1283,2159,2751,2304,3836,1725,2952,3098,2512,3266,1941,1563,1896,2372,2513,3163
"Pver_gene_g21328",254,558,322,169,52,113,160,148,550,168,467,158,199,490,448,736,274,144,142,221,257,35,121,197,137,250,73,168,69,151,95,161
"Pver_gene_g19191",1197,298,8513,1404,1318,608,1279,1833,11,468,1343,43,1086,2061,24,526,1016,2266,733,18421,1889,6659,14241,722,843,24445,1448,107,16568,8958,512,86
"Pver_gene_g19192",513,636,6580,230,356,206,288,448,22,99,119,29,1561,981,60,164,208,142,229,8427,401,1779,11085,303,252,2608,390,41,8148,6302,446,46
"Pver_gene_g488",201,218,206,303,173,183,142,148,197,84,252,142,145,338,171,196,110,242,252,252,312,203,318,259,235,424,270,147,186,213,172,211
"Pver_gene_g7958",90,94,110,160,136,58,91,50,104,39,17,49,11,86,128,64,27,49,93,84,51,116,141,81,66,80,288,115,90,67,128,132
"Pver_gene_g9385",500,799,562,450,354,629,579,490,436,371,605,494,531,762,616,657,429,515,625,390,688,276,566,636,486,585,415,201,317,560,443,516
"Pver_gene_g10191",2065,2333,1613,3356,2837,1954,1251,3418,1396,790,1054,846,2442,2316,1370,2127,2524,2668,1236,11255,3093,1273,4007,1383,1456,2264,5464,5305,5929,3691,2369,1967
"Pver_gene_g7590",242,400,246,401,406,269,187,406,182,156,222,179,371,325,277,360,191,271,266,603,428,243,364,221,309,269,554,358,849,360,357,254
"Pver_gene_g7331",103,176,236,390,406,87,104,71,95,208,74,63,166,320,74,298,54,193,210,133,215,257,268,332,421,350,547,174,138,125,222,313
"Pver_gene_g2772",1108,1412,1355,1714,1585,1403,925,1497,1637,659,868,741,1096,1854,1510,1687,921,2017,1795,2723,1551,1453,2255,2465,1200,1194,3455,2754,2371,1575,1512,1558
"Pver_gene_g16312",2570,2383,1932,3065,2248,2535,2775,2107,2443,1342,1817,2043,1670,4005,3644,2970,1811,1871,3073,4478,2811,2831,2966,4145,4756,4401,2953,2716,1723,4831,5135,2003
"Pver_gene_g8671",133,426,750,689,198,203,214,194,464,130,906,221,182,664,429,214,186,72,565,719,983,326,1115,816,824,1719,1207,424,319,407,639,579
"Pver_gene_g5098",730,394,1251,3102,5235,820,776,2791,1735,248,1214,139,174,326,226,351,330,881,615,598,561,956,3103,711,718,568,6015,2708,2754,728,2105,1736
"Pver_gene_g5097",295,157,358,1499,1789,371,227,1820,697,86,883,37,103,204,101,142,134,189,344,247,268,461,1046,220,310,186,2997,1626,2046,262,1896,1044
"Pver_gene_g21404",90,73,92,64,74,80,67,67,59,27,16,35,60,48,81,18,40,80,123,85,53,85,158,110,106,149,166,170,138,95,60,86
"Pver_gene_g8880",395,93,170,81,38,312,122,755,95,120,89,100,95,117,185,88,483,204,392,105,105,59,94,121,97,183,106,102,93,91,73,89
"Pver_gene_g13770",500,1033,1603,1058,1081,528,764,1053,781,814,528,135,763,413,222,193,643,1756,427,4799,644,825,2041,866,469,416,8037,2420,9214,300,1585,2448
"Pver_gene_g10560",932,655,822,588,367,837,627,708,747,462,993,496,571,1086,896,1053,579,551,794,251,815,537,545,601,600,936,411,279,145,571,392,311
"Pver_gene_g18482",1664,2316,1492,1865,1076,2101,1381,1298,1618,1040,1853,1261,1742,2580,2056,1890,1255,1428,2330,1161,2028,984,1836,1641,1700,1847,1308,751,954,1422,1503,1689
"Pver_gene_g13043",315,449,370,313,143,341,395,258,260,274,311,213,407,491,407,323,349,302,343,173,423,192,277,289,223,218,131,67,71,277,237,292
"Pver_gene_g9786",1349,1541,1420,1047,764,1338,1309,997,1232,944,1653,1068,1225,1771,1425,1330,1009,960,1787,778,1318,647,1609,1252,885,1401,671,523,361,801,802,892
"Pver_gene_g18523",4528,5373,4436,6487,3714,5183,4772,5579,4596,2473,4500,3812,4691,6505,5084,5929,3403,4173,5577,5889,6364,5066,7601,7774,5478,7056,6286,3430,6246,6235,4686,6105
"Pver_gene_g15656",579,617,419,2413,936,459,445,1131,419,75,185,95,730,334,299,254,558,531,341,1867,722,178,1877,442,320,687,3544,1179,4898,346,294,168
"Pver_gene_g15034",239,324,152,221,130,251,168,195,175,104,251,130,150,353,367,302,166,244,286,162,295,104,203,287,174,228,135,88,96,148,160,144
"Pver_gene_g18313",599,325,499,1093,672,604,814,846,695,172,461,243,124,271,503,250,287,356,525,2440,364,328,507,847,340,581,900,986,4937,568,595,627
"Pver_gene_g15598",911,1317,858,761,560,839,839,515,811,585,1045,837,912,1428,837,1571,1009,862,1040,601,1115,563,932,1078,599,1026,449,255,366,712,768,804
"Pver_gene_g1502",43,109,102,128,91,42,60,52,89,50,57,38,19,83,53,87,45,38,110,76,149,153,69,86,95,151,154,49,48,121,175,78
"Pver_gene_g774",573,452,565,380,227,731,491,340,344,355,440,587,470,555,386,533,295,395,802,329,662,248,477,375,352,416,296,205,224,344,353,330
"Pver_gene_g6818",143,530,1625,2442,1444,174,191,120,205,236,260,184,135,265,186,188,145,211,233,1478,1699,755,1683,1256,1389,1010,1336,963,692,1195,2570,3695
"Pver_gene_g6817",132,261,549,883,680,324,92,184,146,122,224,115,191,238,164,107,167,192,274,637,523,262,569,251,509,336,379,265,232,268,575,1619
"Pver_gene_g17012",16,12,3713,4683,29,69,23,13,36,2406,59,18,92,90,261,51,21,10,21,31,120,1365,84,44,29,25,865,50,13,98,37,3551
"Pver_gene_g23276",3024,1981,1542,4441,2707,2531,1943,3250,2946,889,2207,1092,2145,2235,2298,2067,1963,2591,2399,3745,2337,2147,3801,3383,1747,2397,6777,4989,6835,4052,2324,2414
"Pver_gene_g13927",343,303,395,516,585,259,220,917,451,183,242,171,220,327,262,330,287,309,361,3489,182,226,276,247,174,294,1363,1726,2947,393,543,269
"Pver_gene_g15186",2526,2664,2912,4157,2716,3066,2813,2920,2955,1469,2885,1877,2145,3942,3295,3185,2069,2697,3989,3120,3213,2390,3338,4398,3447,3658,3658,2516,2849,2883,2907,2947
"Pver_gene_g11765",4397,2528,2289,9892,4641,5180,1599,9628,4218,238,2042,567,3068,1311,2214,1877,3442,5930,2011,10688,3474,2622,8258,5044,1853,2290,16825,19710,23058,3691,2466,2023
"Pver_gene_novel_gene_374_5de57afd",318,217,257,157,124,264,193,169,161,184,363,247,188,377,447,345,204,173,225,161,199,161,278,233,158,261,115,83,92,161,180,199
"Pver_gene_g8700",769,290,15,43,19,30,0,102,754,14,20,105,58,210,61,30,29,104,20,23,71,0,81,75,80,24,39,16,16,8,47,18
"Pver_gene_g1821",292,2350,3378,7619,384,1824,632,1033,2455,284,1658,1352,574,3205,11958,867,1292,587,3677,662,1380,7719,1777,15197,33229,1994,15002,10371,2420,1971,2195,1105
"Pver_gene_g7702",719,887,1044,1334,1110,776,709,943,890,491,419,369,637,1213,1603,804,595,704,805,1243,913,845,1504,756,743,1118,3060,1250,1366,1011,826,648
"Pver_gene_g13183",654,1097,647,558,539,773,734,582,683,327,762,603,859,1070,1001,853,542,745,920,340,992,368,932,818,493,875,474,316,357,675,448,647
"Pver_gene_g8933",261,137,233,647,446,324,314,431,419,79,244,147,206,420,168,320,432,249,256,478,363,260,261,645,250,334,766,1306,957,435,333,393
"Pver_gene_g3638",1192,1773,1933,934,1969,1625,1245,1639,1883,1202,923,1391,1023,2578,1595,2129,1150,703,1703,2507,1985,1971,2669,3025,1894,1585,3182,867,3180,2003,2299,1629
"Pver_gene_g5351",1064,864,1026,2071,1237,1423,1030,1243,1103,373,1070,559,1203,1340,1125,1181,1329,1473,1527,1631,1442,1247,1977,1410,1011,1423,2170,2117,1958,1912,1927,1132
"Pver_gene_g12659",3242,2943,2422,5375,9264,7665,3880,2683,5653,366,1966,1073,2199,1358,5020,673,1828,2421,2147,18298,2052,1003,3520,9421,3526,4635,13216,9146,14396,4979,1376,1904
"Pver_gene_g26406",333,500,319,409,403,239,265,327,299,293,321,227,221,334,254,240,196,352,371,518,588,292,684,377,233,289,375,326,443,438,538,685
"Pver_gene_g20129",36,63,96,97,104,20,28,26,50,26,20,15,24,89,26,94,56,36,134,129,236,294,109,106,58,38,54,32,46,154,20,42
"Pver_gene_g17502",997,1057,917,1238,1061,919,802,1107,1092,536,897,582,851,1222,1270,987,602,851,1208,1645,1391,849,1399,1137,819,932,1533,1260,1912,935,1116,1195
"Pver_gene_g10413",1223,2574,3807,7761,4017,2158,3958,1765,2904,2485,2081,1459,2110,7490,3402,3683,1975,2285,6835,2479,5599,3525,3139,4962,5544,5878,5906,2793,2182,4131,5400,3249
"Pver_gene_g10418",427,54,23,30,37,112,182,97,109,28,50,17,20,79,37,84,102,10,46,0,55,30,31,40,31,35,17,22,61,77,14,23
"Pver_gene_g23334",28,60,137,72,68,17,51,29,48,65,43,63,8,21,37,62,28,48,45,57,11,38,58,86,71,166,213,48,136,156,168,129
"Pver_gene_g25550",184,380,229,61,40,71,90,94,266,93,325,130,127,296,257,489,167,73,84,113,121,67,76,90,81,137,49,131,52,121,53,126
"Pver_gene_g13481",4074,5558,3257,4139,2193,3528,3199,2748,2767,2417,3860,3426,3415,4300,2884,3467,3542,3591,4339,2073,4178,1765,4120,3292,2333,3509,1844,1410,1691,2947,2556,3657
"Pver_gene_g9571",439,678,470,220,143,431,451,192,467,369,369,485,381,868,874,524,486,285,588,246,857,314,421,229,265,585,227,137,119,357,234,385
"Pver_gene_g9166",1130,1490,682,504,657,932,839,742,918,840,1060,1141,1190,1551,1249,1082,811,1275,1347,761,1615,546,1243,922,685,1039,887,433,684,793,949,1120
"Pver_gene_g18021",43,139,265,385,671,77,61,25,58,150,31,58,79,422,197,144,51,219,184,120,34,436,115,196,424,321,324,96,68,102,183,312
"Pver_gene_g22737",2459,3855,2683,2376,1299,3341,2337,1881,2211,1506,3196,2169,2910,4616,3728,3680,2454,2712,3478,1129,3694,1957,3065,2746,2221,3337,1389,1056,1197,2974,1927,2604
"Pver_gene_g8017",115,138,226,126,80,460,186,93,266,140,261,235,108,468,288,114,314,162,475,111,115,91,46,39,188,200,95,72,78,88,148,143
"Pver_gene_g17503",3472,3001,3117,4632,4553,4082,2985,4756,3331,1874,2789,2347,3015,3853,3622,3253,2801,3951,3948,6841,3737,2684,4205,4379,2981,4104,6680,4783,10047,4061,4239,4946
"Pver_gene_g7677",543,569,317,398,231,493,506,264,267,278,556,312,613,585,282,537,349,404,407,290,400,174,386,385,337,370,216,221,274,264,410,445
"Pver_gene_g708",304,552,321,227,170,296,278,157,220,313,453,279,369,567,431,516,291,265,404,197,397,169,507,294,239,327,228,142,158,209,206,336
"Pver_gene_g16616",164,280,451,616,408,201,351,138,204,284,175,154,264,587,270,378,225,177,415,174,636,276,258,348,499,512,587,285,204,377,511,287
"Pver_gene_g16615",235,378,474,723,744,222,250,176,301,533,161,197,313,653,233,628,223,389,505,352,611,476,639,683,570,798,638,525,200,298,458,679
"Pver_gene_g6262",308,225,163,311,198,185,152,163,157,101,258,248,186,395,194,172,246,155,217,603,396,163,441,238,240,306,445,287,384,295,141,255
"Pver_gene_g9616",674,662,659,620,308,789,564,506,646,387,592,450,693,1017,755,748,528,382,941,380,729,468,601,610,495,799,377,231,332,543,412,402
"Pver_gene_g542",2209,1606,1493,2410,3164,2183,1204,1944,1525,1010,2091,892,1184,1643,1603,1197,1414,1717,2179,7113,1370,1468,2021,1819,1772,2019,4159,3273,3593,1232,1873,1864
"Pver_gene_g14162",530,617,682,1078,703,414,649,431,517,405,510,385,450,898,572,514,332,543,846,567,639,394,594,624,650,618,812,513,718,546,764,812
"Pver_gene_g22963",4359,3868,2783,2961,1503,3141,3150,4531,3089,1781,4559,2847,5622,5342,4766,5657,4076,3600,4754,2536,4813,2211,3495,4091,3065,3689,1957,2083,1734,2811,2313,3482
"Pver_gene_g7210",138,170,223,435,399,139,168,163,164,230,100,97,166,291,198,418,125,248,204,166,267,203,314,342,347,381,374,230,143,240,257,233
"Pver_gene_g8096",35,153,239,427,323,42,105,37,193,101,207,91,28,215,164,121,61,66,376,172,151,179,116,382,466,515,238,75,68,178,496,245
"Pver_gene_g25793",763,1190,912,1246,1365,1042,949,623,1002,501,1329,767,982,1326,1373,1176,865,1148,1632,891,1176,1150,1276,1487,960,1413,1498,1084,1665,1406,1757,1453
"Pver_gene_g11293",1809,2701,4614,3444,2287,2160,2555,2240,2954,1271,2429,1874,1963,4389,3276,3086,1788,2523,3774,3263,3599,1931,5366,2755,2755,5883,3698,1804,3144,2997,2869,3541
"Pver_gene_g2049",268,262,195,302,486,260,149,354,219,71,178,100,308,321,241,185,259,235,416,969,318,256,325,250,326,226,1287,598,1933,261,565,166
"Pver_gene_g15488",33,85,239,216,148,36,106,60,160,53,66,69,28,260,109,101,15,56,126,110,134,71,171,127,324,205,177,89,60,195,200,65
"Pver_gene_g22846",182,176,240,321,486,323,187,402,297,49,162,73,246,283,129,309,318,245,376,1167,193,138,197,338,141,237,1352,695,1471,494,660,222
"Pver_gene_g15307",305,545,1416,1576,295,381,357,373,1699,254,276,299,331,486,432,464,266,447,1686,331,474,268,3629,2036,1383,1781,2316,274,2444,1565,1130,462
"Pver_gene_g5639",3081,3575,3251,3020,1965,4246,2735,3217,2898,1986,3531,2750,3604,5295,3367,3525,2408,2846,3345,2168,4211,2051,4380,3383,2524,3684,2432,1674,1605,2604,1964,3151
"Pver_gene_g17677",2520,3061,2894,3360,2041,2788,2364,2506,1867,1646,2685,1783,2384,3096,2831,2926,1839,2781,3102,3011,2592,2050,3335,3556,2392,4460,2641,2226,2427,2998,2147,3837
"Pver_gene_g5006",418,547,461,365,263,385,409,323,506,305,473,434,432,760,506,673,426,334,695,189,653,235,566,445,334,387,274,241,227,311,312,523
"Pver_gene_g12511",89,186,307,994,443,140,390,288,213,188,238,143,146,290,317,280,208,279,674,778,368,148,303,498,614,447,1251,338,423,506,1122,372
"Pver_gene_g12512",1200,1538,1745,2887,1340,1007,1291,905,734,1069,1240,674,484,2511,1913,1501,910,1332,2215,2711,1926,1263,1476,1648,2590,1786,2755,1339,987,1605,2633,1412
"Pver_gene_g14201",324,263,379,321,555,205,535,288,236,328,455,319,174,457,261,113,115,526,505,711,813,122,383,857,514,475,773,538,1148,291,373,878
"Pver_gene_g15639",5442,4754,2637,10647,7159,3593,3085,7939,3983,1752,3497,1693,3136,2116,2710,2063,2913,4032,2804,11520,5343,2457,5924,4783,2273,4011,9872,9578,19440,4815,4925,6768
"Pver_gene_g15637",670,584,851,1275,828,827,419,879,738,159,319,338,685,1174,1410,736,313,464,567,2187,1608,774,746,614,821,777,3775,1021,5267,1136,448,415
"Pver_gene_g255",762,993,1976,2142,1453,1216,1090,1268,1285,924,1190,1154,751,1218,926,966,477,1241,1419,1740,2103,1450,2632,3152,2038,2983,1965,1347,1989,1773,1971,2639
"Pver_gene_g8420",69,271,542,169,51,494,90,50,83,50,176,99,77,106,51,92,119,242,150,386,282,430,473,52,843,178,66,266,255,258,233,315
"Pver_gene_g9487",43,77,154,144,174,24,40,56,80,27,111,57,30,72,179,51,31,34,182,113,87,94,86,146,228,149,341,121,63,51,234,58
"Pver_gene_g18710",23,200,13,30,29,273,77,63,32,247,230,91,104,35,134,22,16,241,192,18,107,66,22,23,27,177,26,27,16,35,17,35
"Pver_gene_g591",40,56,161,88,162,49,29,43,69,31,27,9,27,114,124,42,73,58,54,366,18,86,153,74,26,144,169,113,72,129,93,72
"Pver_gene_g9524",647,702,779,1006,902,838,856,605,732,531,952,778,716,1269,1025,733,708,726,684,2102,1174,657,1279,921,822,1310,1610,1505,2479,875,848,1103
"Pver_gene_g6870",1380,2883,1157,1840,934,1742,1916,1195,1399,1056,1744,1109,1670,2834,1990,2708,1253,1725,2091,1277,2434,940,2126,1605,1260,2053,1195,869,977,1451,1368,1402
"Pver_gene_g23719",513,247,261,303,134,484,206,1038,322,169,305,277,184,286,338,169,450,471,506,154,189,186,222,291,139,351,150,148,125,218,239,320
"Pver_gene_g6684",189,68,1765,64,43,18,34,16,53,12,1775,66,1656,36,106,188,58,22,4121,0,10,31,100,61,923,135,41,30,23,20,15,28
"Pver_gene_g6370",926,2004,1628,1451,2100,979,1760,727,1329,1033,1390,1714,909,1314,1004,926,722,1678,1444,1267,3868,868,2298,2948,1481,1737,2589,1123,2816,1372,1951,3485
"Pver_gene_g5236",2190,2639,1907,2904,2049,2271,1833,2191,2325,1598,1947,1995,1926,2504,2937,2237,1698,2219,1979,2832,3171,2070,3119,4636,2236,3367,2853,1633,2875,2417,2260,3712
"Pver_gene_g26152",884,1034,784,592,413,824,853,551,611,534,890,779,750,1192,777,1025,579,754,1066,423,1100,568,856,747,696,903,597,381,444,647,657,825
"Pver_gene_g12427",980,1311,1008,917,559,1120,827,748,839,587,1067,702,1122,1362,994,1043,748,883,1216,586,1254,572,734,889,835,1102,655,556,607,824,735,955
"Pver_gene_g16743",6951,6406,4500,3608,1741,6820,5980,3968,4224,2597,7844,6857,8328,8020,6479,8603,5577,4970,7439,2617,7324,3920,6995,7075,3022,6786,2054,2188,2701,5193,3358,6953
"Pver_gene_g13944",4174,3651,2214,1618,1180,4316,3820,3511,3456,2450,3566,2983,2774,4972,4301,3876,2748,3267,4310,1410,1883,1937,1818,1852,1604,1927,1412,1170,851,1191,1220,2036
