"","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","E10","E11","E12","E13","E14","E15","E16","E1","E2","E3","E4","E5","E6","E7","E8","E9"
"Pver_g7958",58,91,50,104,39,17,49,11,86,90,128,64,27,94,49,93,51,116,141,81,66,110,80,84,160,288,136,115,90,67,128,132
"Pver_g9385",629,579,490,436,371,605,494,531,762,500,616,657,429,799,515,625,688,276,566,636,486,562,585,390,450,415,354,201,317,560,443,516
"Pver_g10191",1954,1251,3418,1396,790,1054,846,2442,2316,2065,1370,2127,2524,2333,2668,1236,3093,1273,4007,1383,1456,1613,2264,11255,3356,5464,2837,5305,5929,3691,2369,1967
"Pver_g7590",269,187,406,182,156,222,179,371,325,242,277,360,191,400,271,266,428,243,364,221,309,246,269,603,401,554,406,358,849,360,357,254
"Pver_g7331",87,104,71,95,208,74,63,166,320,103,74,298,54,176,193,210,215,257,268,332,421,236,350,133,390,547,406,174,138,125,222,313
"Pver_g2772",1403,925,1497,1637,659,868,741,1096,1854,1108,1510,1687,921,1412,2017,1795,1551,1453,2255,2465,1200,1355,1194,2723,1714,3455,1585,2754,2371,1575,1512,1558
"Pver_g16312",2535,2775,2107,2443,1342,1817,2043,1670,4005,2570,3644,2970,1811,2383,1871,3073,2811,2831,2966,4145,4756,1932,4401,4478,3065,2953,2248,2716,1723,4831,5135,2003
"Pver_g8671",203,214,194,464,130,906,221,182,664,133,429,214,186,426,72,565,983,326,1115,816,824,750,1719,719,689,1207,198,424,319,407,639,579
"Pver_g5098",820,776,2791,1735,248,1214,139,174,326,730,226,351,330,394,881,615,561,956,3103,711,718,1251,568,598,3102,6015,5235,2708,2754,728,2105,1736
"Pver_g5097",371,227,1820,697,86,883,37,103,204,295,101,142,134,157,189,344,268,461,1046,220,310,358,186,247,1499,2997,1789,1626,2046,262,1896,1044
"Pver_g21404",80,67,67,59,27,16,35,60,48,90,81,18,40,73,80,123,53,85,158,110,106,92,149,85,64,166,74,170,138,95,60,86
"Pver_g19655",50,27,55,30,12,17,30,15,0,15,18,3,35,19,52,13,5,18,14,56,10,0,6,45,99,135,162,301,485,58,55,45
"Pver_g8880",312,122,755,95,120,89,100,95,117,395,185,88,483,93,204,392,105,59,94,121,97,170,183,105,81,106,38,102,93,91,73,89
"Pver_g13770",528,764,1053,781,814,528,135,763,413,500,222,193,643,1033,1756,427,644,825,2041,866,469,1603,416,4799,1058,8037,1081,2420,9214,300,1585,2448
"Pver_g10560",837,627,708,747,462,993,496,571,1086,932,896,1053,579,655,551,794,815,537,545,601,600,822,936,251,588,411,367,279,145,571,392,311
"Pver_g18482",2101,1381,1298,1618,1040,1853,1261,1742,2580,1664,2056,1890,1255,2316,1428,2330,2028,984,1836,1641,1700,1492,1847,1161,1865,1308,1076,751,954,1422,1503,1689
"Pver_g13043",341,395,258,260,274,311,213,407,491,315,407,323,349,449,302,343,423,192,277,289,223,370,218,173,313,131,143,67,71,277,237,292
"Pver_g9786",1338,1309,997,1232,944,1653,1068,1225,1771,1349,1425,1330,1009,1541,960,1787,1318,647,1609,1252,885,1420,1401,778,1047,671,764,523,361,801,802,892
"Pver_g18523",5183,4772,5579,4596,2473,4500,3812,4691,6505,4528,5084,5929,3403,5373,4173,5577,6364,5066,7601,7774,5478,4436,7056,5889,6487,6286,3714,3430,6246,6235,4686,6105
"Pver_g15656",459,445,1131,419,75,185,95,730,334,579,299,254,558,617,531,341,722,178,1877,442,320,419,687,1867,2413,3544,936,1179,4898,346,294,168
"Pver_g15034",251,168,195,175,104,251,130,150,353,239,367,302,166,324,244,286,295,104,203,287,174,152,228,162,221,135,130,88,96,148,160,144
"Pver_g18313",604,814,846,695,172,461,243,124,271,599,503,250,287,325,356,525,364,328,507,847,340,499,581,2440,1093,900,672,986,4937,568,595,627
"Pver_g15598",839,839,515,811,585,1045,837,912,1428,911,837,1571,1009,1317,862,1040,1115,563,932,1078,599,858,1026,601,761,449,560,255,366,712,768,804
"Pver_g1502",42,60,52,89,50,57,38,19,83,43,53,87,45,109,38,110,149,153,69,86,95,102,151,76,128,154,91,49,48,121,175,78
"Pver_g774",731,491,340,344,355,440,587,470,555,573,386,533,295,452,395,802,662,248,477,375,352,565,416,329,380,296,227,205,224,344,353,330
"Pver_g6818",174,191,120,205,236,260,184,135,265,143,186,188,145,530,211,233,1699,755,1683,1256,1389,1625,1010,1478,2442,1336,1444,963,692,1195,2570,3695
"Pver_g6817",324,92,184,146,122,224,115,191,238,132,164,107,167,261,192,274,523,262,569,251,509,549,336,637,883,379,680,265,232,268,575,1619
"Pver_g17012",69,23,13,36,2406,59,18,92,90,16,261,51,21,12,10,21,120,1365,84,44,29,3713,25,31,4683,865,29,50,13,98,37,3551
"Pver_g23276",2531,1943,3250,2946,889,2207,1092,2145,2235,3024,2298,2067,1963,1981,2591,2399,2337,2147,3801,3383,1747,1542,2397,3745,4441,6777,2707,4989,6835,4052,2324,2414
"Pver_g13927",259,220,917,451,183,242,171,220,327,343,262,330,287,303,309,361,182,226,276,247,174,395,294,3489,516,1363,585,1726,2947,393,543,269
"Pver_g15186",3066,2813,2920,2955,1469,2885,1877,2145,3942,2526,3295,3185,2069,2664,2697,3989,3213,2390,3338,4398,3447,2912,3658,3120,4157,3658,2716,2516,2849,2883,2907,2947
"Pver_novel_374_5de57afd",264,193,169,161,184,363,247,188,377,318,447,345,204,217,173,225,199,161,278,233,158,257,261,161,157,115,124,83,92,161,180,199
"Pver_g8700",30,0,102,754,14,20,105,58,210,769,61,30,29,290,104,20,71,0,81,75,80,15,24,23,43,39,19,16,16,8,47,18
"Pver_g1821",1824,632,1033,2455,284,1658,1352,574,3205,292,11958,867,1292,2350,587,3677,1380,7719,1777,15197,33229,3378,1994,662,7619,15002,384,10371,2420,1971,2195,1105
"Pver_g7702",776,709,943,890,491,419,369,637,1213,719,1603,804,595,887,704,805,913,845,1504,756,743,1044,1118,1243,1334,3060,1110,1250,1366,1011,826,648
"Pver_g13183",773,734,582,683,327,762,603,859,1070,654,1001,853,542,1097,745,920,992,368,932,818,493,647,875,340,558,474,539,316,357,675,448,647
"Pver_g8933",324,314,431,419,79,244,147,206,420,261,168,320,432,137,249,256,363,260,261,645,250,233,334,478,647,766,446,1306,957,435,333,393
"Pver_g3638",1625,1245,1639,1883,1202,923,1391,1023,2578,1192,1595,2129,1150,1773,703,1703,1985,1971,2669,3025,1894,1933,1585,2507,934,3182,1969,867,3180,2003,2299,1629
"Pver_g5351",1423,1030,1243,1103,373,1070,559,1203,1340,1064,1125,1181,1329,864,1473,1527,1442,1247,1977,1410,1011,1026,1423,1631,2071,2170,1237,2117,1958,1912,1927,1132
"Pver_g15108",160,80,338,93,0,50,14,10,10,101,37,0,113,45,123,111,35,48,87,184,52,28,58,193,566,273,320,724,1975,304,171,85
"Pver_g12659",7665,3880,2683,5653,366,1966,1073,2199,1358,3242,5020,673,1828,2943,2421,2147,2052,1003,3520,9421,3526,2422,4635,18298,5375,13216,9264,9146,14396,4979,1376,1904
"Pver_g26406",239,265,327,299,293,321,227,221,334,333,254,240,196,500,352,371,588,292,684,377,233,319,289,518,409,375,403,326,443,438,538,685
"Pver_g20129",20,28,26,50,26,20,15,24,89,36,26,94,56,63,36,134,236,294,109,106,58,96,38,129,97,54,104,32,46,154,20,42
"Pver_g17502",919,802,1107,1092,536,897,582,851,1222,997,1270,987,602,1057,851,1208,1391,849,1399,1137,819,917,932,1645,1238,1533,1061,1260,1912,935,1116,1195
"Pver_g10413",2158,3958,1765,2904,2485,2081,1459,2110,7490,1223,3402,3683,1975,2574,2285,6835,5599,3525,3139,4962,5544,3807,5878,2479,7761,5906,4017,2793,2182,4131,5400,3249
"Pver_g23334",17,51,29,48,65,43,63,8,21,28,37,62,28,60,48,45,11,38,58,86,71,137,166,57,72,213,68,48,136,156,168,129
"Pver_g25550",71,90,94,266,93,325,130,127,296,184,257,489,167,380,73,84,121,67,76,90,81,229,137,113,61,49,40,131,52,121,53,126
"Pver_g13481",3528,3199,2748,2767,2417,3860,3426,3415,4300,4074,2884,3467,3542,5558,3591,4339,4178,1765,4120,3292,2333,3257,3509,2073,4139,1844,2193,1410,1691,2947,2556,3657
"Pver_g9166",932,839,742,918,840,1060,1141,1190,1551,1130,1249,1082,811,1490,1275,1347,1615,546,1243,922,685,682,1039,761,504,887,657,433,684,793,949,1120
"Pver_g18021",77,61,25,58,150,31,58,79,422,43,197,144,51,139,219,184,34,436,115,196,424,265,321,120,385,324,671,96,68,102,183,312
"Pver_g8017",460,186,93,266,140,261,235,108,468,115,288,114,314,138,162,475,115,91,46,39,188,226,200,111,126,95,80,72,78,88,148,143
"Pver_g17503",4082,2985,4756,3331,1874,2789,2347,3015,3853,3472,3622,3253,2801,3001,3951,3948,3737,2684,4205,4379,2981,3117,4104,6841,4632,6680,4553,4783,10047,4061,4239,4946
"Pver_g708",296,278,157,220,313,453,279,369,567,304,431,516,291,552,265,404,397,169,507,294,239,321,327,197,227,228,170,142,158,209,206,336
"Pver_g16616",201,351,138,204,284,175,154,264,587,164,270,378,225,280,177,415,636,276,258,348,499,451,512,174,616,587,408,285,204,377,511,287
"Pver_g16615",222,250,176,301,533,161,197,313,653,235,233,628,223,378,389,505,611,476,639,683,570,474,798,352,723,638,744,525,200,298,458,679
"Pver_g9616",789,564,506,646,387,592,450,693,1017,674,755,748,528,662,382,941,729,468,601,610,495,659,799,380,620,377,308,231,332,543,412,402
"Pver_g542",2183,1204,1944,1525,1010,2091,892,1184,1643,2209,1603,1197,1414,1606,1717,2179,1370,1468,2021,1819,1772,1493,2019,7113,2410,4159,3164,3273,3593,1232,1873,1864
"Pver_g14162",414,649,431,517,405,510,385,450,898,530,572,514,332,617,543,846,639,394,594,624,650,682,618,567,1078,812,703,513,718,546,764,812
"Pver_g22963",3141,3150,4531,3089,1781,4559,2847,5622,5342,4359,4766,5657,4076,3868,3600,4754,4813,2211,3495,4091,3065,2783,3689,2536,2961,1957,1503,2083,1734,2811,2313,3482
"Pver_g7210",139,168,163,164,230,100,97,166,291,138,198,418,125,170,248,204,267,203,314,342,347,223,381,166,435,374,399,230,143,240,257,233
"Pver_g8096",42,105,37,193,101,207,91,28,215,35,164,121,61,153,66,376,151,179,116,382,466,239,515,172,427,238,323,75,68,178,496,245
"Pver_g25793",1042,949,623,1002,501,1329,767,982,1326,763,1373,1176,865,1190,1148,1632,1176,1150,1276,1487,960,912,1413,891,1246,1498,1365,1084,1665,1406,1757,1453
"Pver_g11293",2160,2555,2240,2954,1271,2429,1874,1963,4389,1809,3276,3086,1788,2701,2523,3774,3599,1931,5366,2755,2755,4614,5883,3263,3444,3698,2287,1804,3144,2997,2869,3541
"Pver_g2049",260,149,354,219,71,178,100,308,321,268,241,185,259,262,235,416,318,256,325,250,326,195,226,969,302,1287,486,598,1933,261,565,166
"Pver_g15488",36,106,60,160,53,66,69,28,260,33,109,101,15,85,56,126,134,71,171,127,324,239,205,110,216,177,148,89,60,195,200,65
"Pver_g22846",323,187,402,297,49,162,73,246,283,182,129,309,318,176,245,376,193,138,197,338,141,240,237,1167,321,1352,486,695,1471,494,660,222
"Pver_g15307",381,357,373,1699,254,276,299,331,486,305,432,464,266,545,447,1686,474,268,3629,2036,1383,1416,1781,331,1576,2316,295,274,2444,1565,1130,462
"Pver_g5639",4246,2735,3217,2898,1986,3531,2750,3604,5295,3081,3367,3525,2408,3575,2846,3345,4211,2051,4380,3383,2524,3251,3684,2168,3020,2432,1965,1674,1605,2604,1964,3151
"Pver_g17677",2788,2364,2506,1867,1646,2685,1783,2384,3096,2520,2831,2926,1839,3061,2781,3102,2592,2050,3335,3556,2392,2894,4460,3011,3360,2641,2041,2226,2427,2998,2147,3837
"Pver_g5006",385,409,323,506,305,473,434,432,760,418,506,673,426,547,334,695,653,235,566,445,334,461,387,189,365,274,263,241,227,311,312,523
"Pver_g20449",66,94,107,0,26,34,6,121,140,249,12,45,70,22,157,35,239,438,830,64,65,709,443,1077,88,75,202,0,961,595,133,9
"Pver_g16517",3,1068,13,446,409,11,595,249,373,1050,7,20,0,680,4,482,10,20,0,20,0,0,12,10,0,2,4,261,12,14,11,6
"Pver_g12511",140,390,288,213,188,238,143,146,290,89,317,280,208,186,279,674,368,148,303,498,614,307,447,778,994,1251,443,338,423,506,1122,372
"Pver_g12512",1007,1291,905,734,1069,1240,674,484,2511,1200,1913,1501,910,1538,1332,2215,1926,1263,1476,1648,2590,1745,1786,2711,2887,2755,1340,1339,987,1605,2633,1412
"Pver_g14201",205,535,288,236,328,455,319,174,457,324,261,113,115,263,526,505,813,122,383,857,514,379,475,711,321,773,555,538,1148,291,373,878
"Pver_g15639",3593,3085,7939,3983,1752,3497,1693,3136,2116,5442,2710,2063,2913,4754,4032,2804,5343,2457,5924,4783,2273,2637,4011,11520,10647,9872,7159,9578,19440,4815,4925,6768
"Pver_g15637",827,419,879,738,159,319,338,685,1174,670,1410,736,313,584,464,567,1608,774,746,614,821,851,777,2187,1275,3775,828,1021,5267,1136,448,415
"Pver_g255",1216,1090,1268,1285,924,1190,1154,751,1218,762,926,966,477,993,1241,1419,2103,1450,2632,3152,2038,1976,2983,1740,2142,1965,1453,1347,1989,1773,1971,2639
"Pver_g8420",494,90,50,83,50,176,99,77,106,69,51,92,119,271,242,150,282,430,473,52,843,542,178,386,169,66,51,266,255,258,233,315
"Pver_g9487",24,40,56,80,27,111,57,30,72,43,179,51,31,77,34,182,87,94,86,146,228,154,149,113,144,341,174,121,63,51,234,58
"Pver_g18710",273,77,63,32,247,230,91,104,35,23,134,22,16,200,241,192,107,66,22,23,27,13,177,18,30,26,29,27,16,35,17,35
"Pver_g591",49,29,43,69,31,27,9,27,114,40,124,42,73,56,58,54,18,86,153,74,26,161,144,366,88,169,162,113,72,129,93,72
"Pver_g6093",37,7,15,29,28,20,27,0,35,19,44,26,35,5,12,13,108,34,59,11,42,0,37,19,48,364,113,294,647,43,122,348
"Pver_g9524",838,856,605,732,531,952,778,716,1269,647,1025,733,708,702,726,684,1174,657,1279,921,822,779,1310,2102,1006,1610,902,1505,2479,875,848,1103
"Pver_g6870",1742,1916,1195,1399,1056,1744,1109,1670,2834,1380,1990,2708,1253,2883,1725,2091,2434,940,2126,1605,1260,1157,2053,1277,1840,1195,934,869,977,1451,1368,1402
"Pver_g23719",484,206,1038,322,169,305,277,184,286,513,338,169,450,247,471,506,189,186,222,291,139,261,351,154,303,150,134,148,125,218,239,320
"Pver_g6370",979,1760,727,1329,1033,1390,1714,909,1314,926,1004,926,722,2004,1678,1444,3868,868,2298,2948,1481,1628,1737,1267,1451,2589,2100,1123,2816,1372,1951,3485
"Pver_g4149",6,45,11,25,9,3,6,23,28,12,13,10,0,15,0,13,5,27,499,10,15,61,40,4,81,40,37,8,16,6,72,13
"Pver_g5236",2271,1833,2191,2325,1598,1947,1995,1926,2504,2190,2937,2237,1698,2639,2219,1979,3171,2070,3119,4636,2236,1907,3367,2832,2904,2853,2049,1633,2875,2417,2260,3712
"Pver_g12427",1120,827,748,839,587,1067,702,1122,1362,980,994,1043,748,1311,883,1216,1254,572,734,889,835,1008,1102,586,917,655,559,556,607,824,735,955
"Pver_g16743",6820,5980,3968,4224,2597,7844,6857,8328,8020,6951,6479,8603,5577,6406,4970,7439,7324,3920,6995,7075,3022,4500,6786,2617,3608,2054,1741,2188,2701,5193,3358,6953
"Pver_g13944",4316,3820,3511,3456,2450,3566,2983,2774,4972,4174,4301,3876,2748,3651,3267,4310,1883,1937,1818,1852,1604,2214,1927,1410,1618,1412,1180,1170,851,1191,1220,2036
