"","E1","E10","E11","E12","E13","E14","E15","E16","C17","C18","C19","E2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","E3","C30","C31","C32","E4","E5","E6","E7","E8","E9"
"Pver_g12659",16797,1896,1084,3143,8659,3955,2238,4958,6834,4161,2792,4882,5891,389,1733,1061,1813,1220,2917,4557,577,1608,14491,2706,2334,1939,10073,8514,15191,5231,1512,1733
"Pver_g26406",469,511,314,605,360,277,306,326,191,292,350,396,304,313,288,257,201,311,317,270,218,192,430,438,358,336,447,300,502,480,601,592
"Pver_g17502",1508,1288,900,1305,1052,848,841,1039,837,855,1202,1144,1156,579,815,626,719,1137,903,1187,890,535,1702,917,910,1148,1120,1101,2076,1000,1238,1064
"Pver_g25550",93,94,66,66,61,81,213,146,48,101,102,51,271,98,281,132,112,257,150,223,410,144,57,321,78,90,38,107,50,122,58,115
"Pver_g13481",1847,3851,1890,3786,2979,2516,3045,3860,3078,3515,2962,3807,2939,2574,3600,3786,3166,3959,3692,2696,3165,3259,2055,5067,3845,4017,2413,1262,1766,3295,2801,3397
"Pver_g22737",1089,3380,2062,2886,2487,2536,2514,3779,3158,2680,2071,2134,2495,1690,2990,2405,2773,4127,2240,3440,3402,2228,1544,3535,2966,3187,1372,970,1344,3268,2109,2425
"Pver_g8017",94,89,110,34,31,197,201,215,423,194,95,123,305,149,220,233,101,444,99,226,111,267,108,112,153,382,62,75,67,78,160,129
"Pver_g17503",6219,3330,2778,3694,3913,2962,2822,4348,3632,3162,4859,4160,3524,1875,2443,2474,2696,3424,3121,3197,2905,2582,7100,2651,4039,3557,4694,4226,10751,4325,4596,4327
"Pver_g16616",142,538,256,208,304,506,389,491,177,341,114,616,204,271,154,149,226,473,142,234,322,171,592,233,174,335,365,225,207,364,510,248
"Pver_g16615",309,546,465,528,567,524,417,751,166,240,184,612,264,540,107,173,245,587,192,179,534,206,641,298,364,401,678,467,175,270,417,594
"Pver_g6262",515,333,171,401,210,259,154,320,154,141,183,309,154,114,245,232,136,323,286,171,159,192,483,202,141,203,214,255,425,319,149,216
"Pver_g9616",354,672,516,560,551,519,599,840,742,598,512,564,692,426,528,521,634,932,645,712,687,474,369,588,401,938,312,201,371,627,433,355
"Pver_g542",6279,1192,1491,1797,1604,1895,1322,2112,2024,1245,2048,2175,1595,1081,1872,895,979,1462,2007,1403,1072,1216,4434,1419,1687,1934,3306,2913,3755,1268,2109,1587
"Pver_g6062",58,7,18,20,42,135,13,56,17,0,3,69,62,27,22,12,0,29,6,34,32,23,401,34,17,53,64,65,123,14,173,27
"Pver_g22963",2378,4323,2293,3275,3749,3258,2558,4107,2873,3330,4856,2758,3278,1883,4272,3132,5165,4904,3980,4368,5186,3796,2151,3577,3835,4473,1601,1870,1923,2995,2596,3131
"Pver_g7210",125,220,217,242,251,356,183,367,108,163,149,350,133,207,75,101,117,229,93,158,362,93,392,169,253,164,393,173,158,228,266,176
"Pver_g8096",145,136,196,111,351,542,223,590,46,109,33,406,200,105,179,93,31,203,30,155,111,50,267,125,66,351,333,83,78,177,478,233
"Pver_g9323",855,1924,843,1463,1194,1096,1168,1517,1436,1163,1165,1167,1190,1026,1564,1073,1226,1748,1201,1249,1318,1011,972,1662,1411,1305,884,548,657,1189,1005,1243
"Pver_g18093",1692,1822,1267,1858,1716,1568,1193,1898,1713,1430,1739,1607,1742,1083,1377,1095,1507,1885,1152,1258,1225,937,2485,1457,1270,1766,2388,1433,2195,1720,1895,1660
"Pver_g11293",2743,3188,1921,4684,2318,2886,4033,6143,1873,2656,2294,2912,3137,1287,2151,1937,1760,3930,1583,2863,2671,1508,3868,2361,2600,3193,2339,1513,3267,3198,2947,3103
"Pver_g2049",823,280,284,313,230,375,184,231,250,162,364,280,236,63,157,110,274,314,231,211,158,238,1392,252,252,388,511,540,2108,278,634,162
"Pver_g15488",104,126,77,155,119,351,224,202,31,119,71,206,181,65,58,78,16,227,24,99,87,10,186,61,57,110,155,89,68,212,222,69
"Pver_g22846",1076,177,140,174,297,146,219,246,307,206,437,294,342,45,152,83,216,265,165,122,280,281,1427,155,262,332,543,612,1583,515,727,205
"Pver_g15307",270,388,268,3294,1825,1405,1301,1893,358,360,330,1468,1778,229,233,257,281,431,266,408,395,219,2427,467,377,1518,322,255,2699,1672,1171,350
"Pver_g5639",1918,3866,2173,4029,3084,2729,2952,3916,3855,2954,3377,2679,3060,2080,3344,2955,3298,4865,2729,3095,3268,2185,2597,3200,2910,3050,2090,1526,1649,2826,2140,2723
"Pver_g16517",8,8,21,0,15,0,0,15,8,1077,19,0,511,437,8,611,224,358,995,7,11,0,0,606,4,421,3,233,7,13,14,0
"Pver_g12511",677,326,163,309,455,614,305,461,121,422,288,898,212,213,192,128,130,237,82,296,249,186,1292,169,301,592,436,287,453,521,1176,344
"Pver_g12512",2437,1731,1305,1345,1458,2793,1578,1962,919,1417,1019,2631,758,1190,1110,760,428,2320,1074,1706,1355,829,2990,1466,1422,2029,1452,1194,1042,1753,2977,1279
"Pver_g14201",630,756,128,354,799,568,362,549,203,573,334,305,269,342,421,340,173,425,282,235,124,96,838,232,594,489,614,514,1214,335,430,790
"Pver_g15639",10494,4856,2521,5367,4400,2480,2484,4455,3290,3411,8522,9732,4226,1868,3138,1867,2954,1992,5061,2431,1837,2617,10821,4420,4227,2586,7634,8835,21449,5233,5411,6204
"Pver_g15637",2036,1458,805,696,547,920,853,829,759,421,971,1143,777,166,296,388,621,1062,616,1252,677,275,4088,553,499,468,925,922,5769,1179,491,385
"Pver_g15981",47,43,37,51,34,51,28,74,53,57,49,42,49,47,71,126,39,46,44,66,45,39,34,105,33,78,14,16,36,33,35,28
"Pver_g255",1422,1836,1179,1984,2621,1817,1679,2434,1108,1094,1139,1754,1215,908,1020,1144,583,1000,650,755,829,390,1781,831,1224,1308,1396,969,1774,1514,1889,2268
"Pver_g9487",111,85,110,77,123,250,149,154,28,48,52,119,85,31,89,61,28,69,38,162,54,27,358,55,33,172,186,92,62,50,255,55
"Pver_g18710",8,74,56,0,19,22,10,165,250,85,56,17,37,260,206,78,85,0,8,119,22,20,15,158,255,166,21,18,12,33,0,16
"Pver_g591",343,12,93,135,59,14,138,150,43,29,51,85,74,30,29,8,22,113,32,121,38,60,160,63,60,46,153,117,82,138,104,70
"Pver_g6093",12,104,17,43,10,46,0,32,25,4,18,46,26,23,15,32,0,32,13,37,30,18,375,0,12,14,102,246,692,54,134,276
"Pver_g9524",1879,1024,700,1180,834,852,726,1483,827,1010,611,877,802,565,860,857,627,1197,604,904,711,636,1736,651,772,556,1040,1364,2659,908,939,975
"Pver_g23719",124,191,163,188,225,145,263,378,419,205,1011,266,347,166,256,317,168,238,429,315,155,395,169,230,524,445,142,138,130,214,265,292
"Pver_g6370",1216,3592,923,2029,2685,1649,1504,1878,901,1939,836,1252,1389,1130,1272,1824,850,1160,842,892,811,708,2825,1806,1776,1331,2336,1032,3099,1499,2137,3187
"Pver_g5236",2579,2961,2132,2915,4309,2417,1860,3682,2158,1928,2302,2713,2555,1690,1889,2124,1768,2317,1905,2622,2055,1558,3110,2420,2380,1828,2180,1565,3118,2615,2472,3509
"Pver_g16743",2373,6637,4157,6359,6440,3204,4162,7350,6042,6505,4271,3355,4551,2863,7097,7490,7360,7216,6230,5998,7874,5059,2122,5650,5392,6825,1895,2010,2951,5738,3663,6225
"Pver_g13944",1283,1681,1955,1701,1700,1643,1997,1970,3892,3860,3548,1428,3479,2527,3190,3030,2432,4353,3626,3908,3488,2352,1413,3196,3309,3916,1209,1064,906,1206,1301,1810
