slim_term,slim_cat,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,genes
intracellular protein transport,GO:0006886,GO:0006623,0.027654476,0.99966282,1,8,protein targeting to vacuole,BP,0.029186363,"Pver_gene_g419, Pver_gene_g3970, Pver_gene_g5485, Pver_gene_g8229, Pver_gene_g15425, Pver_gene_g16706, Pver_gene_g26413, Pver_gene_g2850, Pver_gene_g3970"
catalytic activity,GO:0003824,GO:0004713,0.011724164,0.99667636,7,318,protein tyrosine kinase activity,MF,0.013983584,"Pver_gene_g138, Pver_gene_g610, Pver_gene_g871, Pver_gene_g987, Pver_gene_g2132, Pver_gene_g2809, Pver_gene_g3291, Pver_gene_g3363, Pver_gene_g3579, Pver_gene_g3614, Pver_gene_g3927, Pver_gene_g4508, Pver_gene_g4664, Pver_gene_g4696, Pver_gene_g4697, Pver_gene_g5239, Pver_gene_g5361, Pver_gene_g6404, Pver_gene_g6684, Pver_gene_g6688, Pver_gene_g6909, Pver_gene_g7798, Pver_gene_g7836, Pver_gene_g8276, Pver_gene_g8450, Pver_gene_g8657, Pver_gene_g8724, Pver_gene_g9026, Pver_gene_g9383, Pver_gene_g10161, Pver_gene_g10220, Pver_gene_g10697, Pver_gene_g11073, Pver_gene_g11268, Pver_gene_g11316, Pver_gene_g11453, Pver_gene_g11843, Pver_gene_g12068, Pver_gene_g12072, Pver_gene_g12256, Pver_gene_g12288, Pver_gene_g12540, Pver_gene_g12740, Pver_gene_g12816, Pver_gene_g12828, Pver_gene_g12830, Pver_gene_g12833, Pver_gene_g13005, Pver_gene_g14095, Pver_gene_g14225, Pver_gene_g14424, Pver_gene_g14521, Pver_gene_g14531, Pver_gene_g14655, Pver_gene_g14706, Pver_gene_g14865, Pver_gene_g14985, Pver_gene_g15009, Pver_gene_g15010, Pver_gene_g15255, Pver_gene_g15747, Pver_gene_g16142, Pver_gene_g16162, Pver_gene_g16405, Pver_gene_g16419, Pver_gene_g16420, Pver_gene_g16905, Pver_gene_g17199, Pver_gene_g17467, Pver_gene_g17468, Pver_gene_g17778, Pver_gene_g18416, Pver_gene_g18559, Pver_gene_g18751, Pver_gene_g18890, Pver_gene_g18966, Pver_gene_g18970, Pver_gene_g19021, Pver_gene_g19286, Pver_gene_g19414, Pver_gene_g19477, Pver_gene_g19889, Pver_gene_g20037, Pver_gene_g20161, Pver_gene_g20162, Pver_gene_g20347, Pver_gene_g20475, Pver_gene_g20484, Pver_gene_g20511, Pver_gene_g20725, Pver_gene_g20927, Pver_gene_g20985, Pver_gene_g21236, Pver_gene_g22678, Pver_gene_g23310, Pver_gene_g23602, Pver_gene_g23913, Pver_gene_g24187, Pver_gene_g26197, Pver_gene_g26390, Pver_gene_g26443, Pver_gene_g26444, Pver_gene_g26591, Pver_gene_novel_gene_model_gene_167_gene_5de57afd, Pver_gene_novel_gene_model_gene_207_gene_5de57afd, Pver_gene_g74, Pver_gene_g934, Pver_gene_g949, Pver_gene_g1035, Pver_gene_g1123, Pver_gene_g1537, Pver_gene_g1538, Pver_gene_g1709, Pver_gene_g1777, Pver_gene_g2130, Pver_gene_g2132, Pver_gene_g2210, Pver_gene_g2365, Pver_gene_g2462, Pver_gene_g2463, Pver_gene_g2543, Pver_gene_g3303, Pver_gene_g3305, Pver_gene_g3414, Pver_gene_g3415, Pver_gene_g3614, Pver_gene_g3615, Pver_gene_g3890, Pver_gene_g4259, Pver_gene_g4260, Pver_gene_g4372, Pver_gene_g4508, Pver_gene_g4509, Pver_gene_g4510, Pver_gene_g4511, Pver_gene_g4607, Pver_gene_g4721, Pver_gene_g5096, Pver_gene_g5211, Pver_gene_g5221, Pver_gene_g5367, Pver_gene_g5415, Pver_gene_g5416, Pver_gene_g5743, Pver_gene_g5806, Pver_gene_g5857, Pver_gene_g5869, Pver_gene_g5870, Pver_gene_g6242, Pver_gene_g6244, Pver_gene_g6403, Pver_gene_g6404, Pver_gene_g6461, Pver_gene_g6951, Pver_gene_g6958, Pver_gene_g7192, Pver_gene_g7361, Pver_gene_g7797, Pver_gene_g7798, Pver_gene_g7819, Pver_gene_g8276, Pver_gene_g8297, Pver_gene_g8401, Pver_gene_g8564, Pver_gene_g8721, Pver_gene_g8724, Pver_gene_g8883, Pver_gene_g8884, Pver_gene_g8915, Pver_gene_g9146, Pver_gene_g9173, Pver_gene_g9205, Pver_gene_g9233, Pver_gene_g9285, Pver_gene_g9286, Pver_gene_g9289, Pver_gene_g9383, Pver_gene_g9492, Pver_gene_g9848, Pver_gene_g10018, Pver_gene_g10137, Pver_gene_g10174, Pver_gene_g10362, Pver_gene_g10676, Pver_gene_g10679, Pver_gene_g10680, Pver_gene_g10701, Pver_gene_g10844, Pver_gene_g11217, Pver_gene_g11317, Pver_gene_g11358, Pver_gene_g11389, Pver_gene_g11453, Pver_gene_g11703, Pver_gene_g11781, Pver_gene_g12031, Pver_gene_g12066, Pver_gene_g12105, Pver_gene_g12179, Pver_gene_g12189, Pver_gene_g12286, Pver_gene_g12507, Pver_gene_g12684, Pver_gene_g12752, Pver_gene_g12796, Pver_gene_g12798, Pver_gene_g12889, Pver_gene_g12982, Pver_gene_g12998, Pver_gene_g13005, Pver_gene_g13135, Pver_gene_g13155, Pver_gene_g13198, Pver_gene_g13702, Pver_gene_g13790, Pver_gene_g14149, Pver_gene_g14188, Pver_gene_g14225, Pver_gene_g14422, Pver_gene_g14423, Pver_gene_g14549, Pver_gene_g14771, Pver_gene_g14870, Pver_gene_g14872, Pver_gene_g15009, Pver_gene_g15107, Pver_gene_g16084, Pver_gene_g16405, Pver_gene_g16827, Pver_gene_g16828, Pver_gene_g16858, Pver_gene_g16905, Pver_gene_g16977, Pver_gene_g17052, Pver_gene_g17320, Pver_gene_g17467, Pver_gene_g17468, Pver_gene_g17472, Pver_gene_g17539, Pver_gene_g17596, Pver_gene_g17663, Pver_gene_g17864, Pver_gene_g17865, Pver_gene_g17894, Pver_gene_g17901, Pver_gene_g17905, Pver_gene_g18024, Pver_gene_g18142, Pver_gene_g18239, Pver_gene_g18271, Pver_gene_g18559, Pver_gene_g18592, Pver_gene_g18680, Pver_gene_g18682, Pver_gene_g19021, Pver_gene_g19023, Pver_gene_g19108, Pver_gene_g19109, Pver_gene_g19185, Pver_gene_g19246, Pver_gene_g19568, Pver_gene_g19643, Pver_gene_g19689, Pver_gene_g19700, Pver_gene_g19789, Pver_gene_g19802, Pver_gene_g19836, Pver_gene_g19841, Pver_gene_g19889, Pver_gene_g19905, Pver_gene_g19955, Pver_gene_g20161, Pver_gene_g20187, Pver_gene_g20211, Pver_gene_g20256, Pver_gene_g20475, Pver_gene_g20484, Pver_gene_g20618, Pver_gene_g20693, Pver_gene_g20922, Pver_gene_g20980, Pver_gene_g20984, Pver_gene_g21329, Pver_gene_g21368, Pver_gene_g22899, Pver_gene_g22946, Pver_gene_g22947, Pver_gene_g22948, Pver_gene_g22949, Pver_gene_g23055, Pver_gene_g23189, Pver_gene_g23191, Pver_gene_g23217, Pver_gene_g23349, Pver_gene_g23518, Pver_gene_g23602, Pver_gene_g23729, Pver_gene_g25682, Pver_gene_g25912, Pver_gene_g25984, Pver_gene_g26093, Pver_gene_g26197, Pver_gene_g26443, Pver_gene_g26444, Pver_gene_g26528, Pver_gene_g26567, Pver_gene_g26601, Pver_gene_g26708, Pver_gene_g26793, Pver_gene_novel_gene_model_gene_773_gene_5de57afd, Pver_gene_g2931, Pver_gene_g3303, Pver_gene_g3415, Pver_gene_g3416, Pver_gene_g3890, Pver_gene_g4372, Pver_gene_g5806, Pver_gene_g6403, Pver_gene_g6461, Pver_gene_g7205, Pver_gene_g8276, Pver_gene_g9230, Pver_gene_g9285, Pver_gene_g9287, Pver_gene_g9492, Pver_gene_g9848, Pver_gene_g10174, Pver_gene_g10362, Pver_gene_g11389, Pver_gene_g11557, Pver_gene_g12105, Pver_gene_g12188, Pver_gene_g12189, Pver_gene_g12286, Pver_gene_g12301, Pver_gene_g12829, Pver_gene_g12998, Pver_gene_g13155, Pver_gene_g13749, Pver_gene_g14522, Pver_gene_g14869, Pver_gene_g16084, Pver_gene_g16905, Pver_gene_g17730, Pver_gene_g17830, Pver_gene_g17865, Pver_gene_g18401, Pver_gene_g18452, Pver_gene_g18559, Pver_gene_g18653, Pver_gene_g19024, Pver_gene_g19108, Pver_gene_g19185, Pver_gene_g19568, Pver_gene_g21228, Pver_gene_g23189, Pver_gene_g23191, Pver_gene_g25912, Pver_gene_g26092, Pver_gene_g5744, Pver_gene_g6401, Pver_gene_g7187, Pver_gene_g7706, Pver_gene_g9174, Pver_gene_g9175, Pver_gene_g10376, Pver_gene_g11918, Pver_gene_g11967, Pver_gene_g14986, Pver_gene_g19942, Pver_gene_g20966, Pver_gene_g21346, Pver_gene_g21363, Pver_gene_g21661, Pver_gene_g21957, Pver_gene_g21972"
transporter activity,GO:0005215,GO:0015252,0.000293226,0.999999979,1,2,proton channel activity,MF,0.000637745,"Pver_gene_g8191, Pver_gene_g18286"
signaling receptor binding,GO:0005102,GO:0090722,0.005429736,0.999822255,2,19,receptor-receptor interaction,MF,0.007630486,"Pver_gene_g3305, Pver_gene_g4259, Pver_gene_g4260, Pver_gene_g6958, Pver_gene_g7192, Pver_gene_g8401, Pver_gene_g8883, Pver_gene_g8884, Pver_gene_g9285, Pver_gene_g9289, Pver_gene_g11703, Pver_gene_g12286, Pver_gene_g12725, Pver_gene_g13198, Pver_gene_g17663, Pver_gene_g19109, Pver_gene_g20984, Pver_gene_g25592, Pver_gene_g26528"
organelle,GO:0043226,GO:0031422,0.049539042,0.999062718,1,4,RecQ family helicase-topoisomerase III complex,CC,0.049560835,"Pver_gene_g5807, Pver_gene_g14667, Pver_gene_g14746, Pver_gene_g24909"
regulation of cellular process,GO:0050794,GO:0031344,0.038022743,0.99937296,1,7,regulation of cell projection organization,BP,0.039330836,"Pver_gene_g4328, Pver_gene_g6432, Pver_gene_g8348, Pver_gene_g18593, Pver_gene_g21597, Pver_gene_g26429, Pver_gene_g26566"
signaling,GO:0023052,GO:2001239,0.040860912,0.999248531,1,9,regulation of extrinsic apoptotic signaling pathway in absence of ligand,BP,0.041750462,"Pver_gene_g3305, Pver_gene_g4259, Pver_gene_g4260, Pver_gene_g6958, Pver_gene_g7192, Pver_gene_g8297, Pver_gene_g8883, Pver_gene_g12286, Pver_gene_g13198"
carbohydrate metabolic process,GO:0005975,GO:0005979,0.048450055,0.999044946,1,5,regulation of glycogen biosynthetic process,BP,0.048525707,"Pver_gene_g3130, Pver_gene_g5832, Pver_gene_g6207, Pver_gene_g17318, Pver_gene_g18498, Pver_gene_novel_gene_model_gene_370_gene_5de57afd"
cell differentiation,GO:0030154,GO:2000739,0.009962153,0.999962731,1,4,regulation of mesenchymal stem cell differentiation,BP,0.012152659,"Pver_gene_g5211, Pver_gene_g8191, Pver_gene_g18286, Pver_gene_g23055"
muscle system process,GO:0003012,GO:0090257,0.039690814,0.999400886,1,4,regulation of muscle system process,BP,0.040666178,"Pver_gene_g278, Pver_gene_g295, Pver_gene_g4680, Pver_gene_g17880"
cell adhesion,GO:0007155,GO:0090330,4.03E-08,1,1,3,regulation of platelet aggregation,BP,9.22E-08,"Pver_gene_g7673, Pver_gene_g9441, Pver_gene_g13743"
intracellular protein transport,GO:0006886,GO:2001159,0.018783378,1,1,1,regulation of protein localization by the Cvt pathway,BP,0.022032462,Pver_gene_g21448
reproductive process,GO:0022414,GO:0010520,0.03097882,0.999756955,1,2,regulation of reciprocal meiotic recombination,BP,0.0325575,"Pver_gene_g5807, Pver_gene_g14746"
regulation of gene expression,GO:0010468,GO:1904803,0.018777214,1,1,1,regulation of translation involved in cellular response to UV,BP,0.022032462,Pver_gene_g13978
DNA biosynthetic process,GO:0071897,GO:0006278,8.13E-10,1,24,329,RNA-dependent DNA biosynthetic process,BP,"Pver_gene_g364, Pver_gene_g3436, Pver_gene_g4888, Pver_gene_g4898, Pver_gene_g7140, Pver_gene_g9313, Pver_gene_g9835, Pver_gene_g9897, Pver_gene_g9930, Pver_gene_g10046, Pver_gene_g10138, Pver_gene_g10528, Pver_gene_g10529, Pver_gene_g11805, Pver_gene_g12331, Pver_gene_g12643, Pver_gene_g12682, Pver_gene_g13258, Pver_gene_g13374, Pver_gene_g14630, Pver_gene_g14684, Pver_gene_g16470, Pver_gene_g16720, Pver_gene_g17254, Pver_gene_g18004, Pver_gene_g18665, Pver_gene_g18821, Pver_gene_g19039, Pver_gene_g19308, Pver_gene_g19339, Pver_gene_g20182, Pver_gene_g20436, Pver_gene_g20915, Pver_gene_g20995, Pver_gene_g21116, Pver_gene_g21315, Pver_gene_g21623, Pver_gene_g21779, Pver_gene_g22186, Pver_gene_g22254, Pver_gene_g22478, Pver_gene_g22479, Pver_gene_g23123, Pver_gene_g24352, Pver_gene_g26671, Pver_gene_novel_gene_model_gene_4_gene_5de57afd, Pver_gene_novel_gene_model_gene_82_gene_5de57afd, Pver_gene_novel_gene_model_gene_703_gene_5de57afd, Pver_gene_novel_gene_model_gene_738_gene_5de57afd, Pver_gene_g24898, Pver_gene_g57, Pver_gene_g364, Pver_gene_g670, Pver_gene_g1286, Pver_gene_g2567, Pver_gene_g3080, Pver_gene_g3138, Pver_gene_g3437, Pver_gene_g3438, Pver_gene_g3662, Pver_gene_g4325, Pver_gene_g4326, Pver_gene_g5018, Pver_gene_g5418, Pver_gene_g5499, Pver_gene_g5577, Pver_gene_g5586, Pver_gene_g6245, Pver_gene_g7815, Pver_gene_g8171, Pver_gene_g8278, Pver_gene_g8309, Pver_gene_g8365, Pver_gene_g8406, Pver_gene_g8821, Pver_gene_g8886, Pver_gene_g9307, Pver_gene_g9409, Pver_gene_g9835, Pver_gene_g11783, Pver_gene_g11805, Pver_gene_g14045, Pver_gene_g14060, Pver_gene_g14221, Pver_gene_g14354, Pver_gene_g14657, Pver_gene_g14748, Pver_gene_g15338, Pver_gene_g15350, Pver_gene_g15368, Pver_gene_g15510, Pver_gene_g15752, Pver_gene_g15880, Pver_gene_g16095, Pver_gene_g16376, Pver_gene_g16407, Pver_gene_g16470, Pver_gene_g16477, Pver_gene_g16720, Pver_gene_g16823, Pver_gene_g16845, Pver_gene_g17000, Pver_gene_g17042, Pver_gene_g17090, Pver_gene_g17219, Pver_gene_g17268, Pver_gene_g17358, Pver_gene_g17717, Pver_gene_g17774, Pver_gene_g18090, Pver_gene_g18191, Pver_gene_g18611, Pver_gene_g18612, Pver_gene_g18667, Pver_gene_g18687, Pver_gene_g18849, Pver_gene_g18853, Pver_gene_g18893, Pver_gene_g18987, Pver_gene_g19126, Pver_gene_g19294, Pver_gene_g19301, Pver_gene_g19339, Pver_gene_g19366, Pver_gene_g19458, Pver_gene_g19495, Pver_gene_g19957, Pver_gene_g20311, Pver_gene_g20420, Pver_gene_g20453, Pver_gene_g20827, Pver_gene_g21144, Pver_gene_g21350, Pver_gene_g21353, Pver_gene_g21357, Pver_gene_g21431, Pver_gene_g21450, Pver_gene_g21504, Pver_gene_g21534, Pver_gene_g21553, Pver_gene_g21574, Pver_gene_g21616, Pver_gene_g21645, Pver_gene_g21707, Pver_gene_g21751, Pver_gene_g21776, Pver_gene_g21779, Pver_gene_g21839, Pver_gene_g21871, Pver_gene_g21916, Pver_gene_g22111, Pver_gene_g22162, Pver_gene_g22184, Pver_gene_g22200, Pver_gene_g22215, Pver_gene_g22270, Pver_gene_g22289, Pver_gene_g22362, Pver_gene_g22384, Pver_gene_g22424, Pver_gene_g22434, Pver_gene_g22499, Pver_gene_g22512, Pver_gene_g22602, Pver_gene_g22608, Pver_gene_g22651, Pver_gene_g22981, Pver_gene_g23045, Pver_gene_g23153, Pver_gene_g23349, Pver_gene_g23392, Pver_gene_g23680, Pver_gene_g23694, Pver_gene_g23774, Pver_gene_g24352, Pver_gene_g24774, Pver_gene_g25058, Pver_gene_g25726, Pver_gene_g25878, Pver_gene_g26343, Pver_gene_g26424, Pver_gene_g26514, Pver_gene_g26623, Pver_gene_g26720, Pver_gene_g26722, Pver_gene_g26838, Pver_gene_novel_gene_model_gene_703_gene_5de57afd, Pver_gene_novel_gene_model_gene_740_gene_5de57afd, Pver_gene_g673, Pver_gene_g1166, Pver_gene_g1287, Pver_gene_g1420, Pver_gene_g2187, Pver_gene_g2718, Pver_gene_g3138, Pver_gene_g3218, Pver_gene_g3508, Pver_gene_g3791, Pver_gene_g3797, Pver_gene_g3892, Pver_gene_g4213, Pver_gene_g5244, Pver_gene_g5808, Pver_gene_g5815, Pver_gene_g5906, Pver_gene_g6689, Pver_gene_g6690, Pver_gene_g7123, Pver_gene_g7796, Pver_gene_g8278, Pver_gene_g8406, Pver_gene_g8426, Pver_gene_g8821, Pver_gene_g8849, Pver_gene_g8886, Pver_gene_g10370, Pver_gene_g10602, Pver_gene_g11311, Pver_gene_g11313, Pver_gene_g11356, Pver_gene_g11578, Pver_gene_g11783, Pver_gene_g11920, Pver_gene_g12104, Pver_gene_g12252, Pver_gene_g12454, Pver_gene_g12462, Pver_gene_g13242, Pver_gene_g13467, Pver_gene_g13558, Pver_gene_g13559, Pver_gene_g14060, Pver_gene_g14380, Pver_gene_g14439, Pver_gene_g14579, Pver_gene_g14784, Pver_gene_g14962, Pver_gene_g15251, Pver_gene_g15350, Pver_gene_g15469, Pver_gene_g15572, Pver_gene_g15684, Pver_gene_g15686, Pver_gene_g15733, Pver_gene_g15752, Pver_gene_g15899, Pver_gene_g16111, Pver_gene_g16200, Pver_gene_g16469, Pver_gene_g16513, Pver_gene_g16704, Pver_gene_g16823, Pver_gene_g16850, Pver_gene_g16917, Pver_gene_g16965, Pver_gene_g17219, Pver_gene_g17283, Pver_gene_g17523, Pver_gene_g17631, Pver_gene_g17650, Pver_gene_g17695, Pver_gene_g17717, Pver_gene_g18016, Pver_gene_g18073, Pver_gene_g18201, Pver_gene_g18457, Pver_gene_g18611, Pver_gene_g18722, Pver_gene_g18745, Pver_gene_g18849, Pver_gene_g18912, Pver_gene_g18920, Pver_gene_g19086, Pver_gene_g19184, Pver_gene_g19212, Pver_gene_g19264, Pver_gene_g19273, Pver_gene_g19289, Pver_gene_g19318, Pver_gene_g19398, Pver_gene_g19495, Pver_gene_g19563, Pver_gene_g19778, Pver_gene_g19881, Pver_gene_g19911, Pver_gene_g20050, Pver_gene_g20420, Pver_gene_g20448, Pver_gene_g20453, Pver_gene_g20581, Pver_gene_g20637, Pver_gene_g20719, Pver_gene_g20754, Pver_gene_g20802, Pver_gene_g20871, Pver_gene_g21038, Pver_gene_g21110, Pver_gene_g21243, Pver_gene_g21246, Pver_gene_g21350, Pver_gene_g21399, Pver_gene_g21409, Pver_gene_g21413, Pver_gene_g21417, Pver_gene_g21427, Pver_gene_g21429, Pver_gene_g21431, Pver_gene_g21450, Pver_gene_g21456, Pver_gene_g21499, Pver_gene_g21504, Pver_gene_g21520, Pver_gene_g21526, Pver_gene_g21534, Pver_gene_g21574, Pver_gene_g21616, Pver_gene_g21645, Pver_gene_g21776, Pver_gene_g21781, Pver_gene_g21811, Pver_gene_g21821, Pver_gene_g21906, Pver_gene_g21916, Pver_gene_g21967, Pver_gene_g22001, Pver_gene_g22017, Pver_gene_g22027, Pver_gene_g22030, Pver_gene_g22033, Pver_gene_g22083, Pver_gene_g22137, Pver_gene_g22157, Pver_gene_g22161, Pver_gene_g22184, Pver_gene_g22197, Pver_gene_g22209, Pver_gene_g22215, Pver_gene_g22220, Pver_gene_g22229, Pver_gene_g22245, Pver_gene_g22270, Pver_gene_g22289, Pver_gene_g22299, Pver_gene_g22318, Pver_gene_g22325, Pver_gene_g22329, Pver_gene_g22333, Pver_gene_g22366, Pver_gene_g22375, Pver_gene_g22384, Pver_gene_g22393, Pver_gene_g22424, Pver_gene_g22426, Pver_gene_g22499, Pver_gene_g22507, Pver_gene_g22512, Pver_gene_g22528, Pver_gene_g22533, Pver_gene_g22579, Pver_gene_g22602, Pver_gene_g22619, Pver_gene_g22649, Pver_gene_g22651, Pver_gene_g22704, Pver_gene_g22705, Pver_gene_g22981, Pver_gene_g23410, Pver_gene_g23411, Pver_gene_g23421, Pver_gene_g23443, Pver_gene_g23511, Pver_gene_g24215, Pver_gene_g24259, Pver_gene_g24694, Pver_gene_g24774, Pver_gene_g24779, Pver_gene_g25058, Pver_gene_g25493, Pver_gene_g25606, Pver_gene_g25653, Pver_gene_g26333, Pver_gene_g26342, Pver_gene_g26424, Pver_gene_g26497, Pver_gene_g26499",
synapse,GO:0045202,GO:0097470,0.045663437,0.999092909,1,7,ribbon synapse,CC,0.045927812,"Pver_gene_g3705, Pver_gene_g4776, Pver_gene_g7301, Pver_gene_g11732, Pver_gene_g17125, Pver_gene_g20723, Pver_gene_g25922"
